,points,price,province,variety,winery,Year
42233,91,35.0,California,Pinot Noir,Joseph Swan Vineyards,2007
42234,91,40.0,California,RhÃ´ne-style Red Blend,Clos La Chance,2008
42236,91,15.0,Oregon,Pinot Gris,David Hill,2009
42238,91,35.0,Veneto,Garganega,Gini,2008
42240,91,24.0,Veneto,Garganega,Inama,2009
42241,91,19.0,California,Viognier,Joseph Swan Vineyards,2009
42242,91,50.0,Oregon,Pinot Noir,Mark Ryan,2009
42246,83,10.0,California,Sauvignon Blanc,Sans Wine Co,2016
42248,86,18.0,Washington,Chardonnay,Waterbrook,2015
42258,82,16.0,Washington,Sauvignon Blanc,Canoe Ridge,2016
42259,82,10.0,California,Pinot Noir,Kirkland Signature,2014
42266,82,31.0,California,Syrah,Peter Cellars,2014
42267,82,15.0,California,Pinot Noir,Sola,2015
42280,88,25.0,California,Merlot,Markham,2013
42281,88,24.0,Washington,Merlot,Mercer,2013
42282,88,30.0,Washington,Chardonnay,Mercer,2014
42284,88,15.0,Washington,Riesling,North by Northwest,2014
42285,88,15.0,Washington,Bordeaux-style Red Blend,OS Winery,2013
42286,88,11.0,Washington,Riesling,Pacific Rim,2014
42287,88,22.0,New York,Riesling,Keuka Spring,2014
42288,88,39.0,New York,Riesling,Lamoreaux Landing,2014
42290,88,28.0,Sicilia,Red Blend,Marilena Barbera,2011
42291,88,28.0,California,RhÃ´ne-style Red Blend,Ventana,2014
42293,88,45.0,Washington,Cabernet Sauvignon,J. Bookwalter,2013
42296,88,24.0,Washington,Sangiovese,Genoa,2013
42297,88,34.0,New York,Riesling,Millbrook,2013
42298,88,38.0,California,Cabernet Sauvignon,Miro,2013
42299,88,35.0,Washington,RhÃ´ne-style Red Blend,Burnt Bridge,2013
42301,88,14.0,New York,Chardonnay,Sheldrake Point,2014
42302,88,60.0,California,Pinot Noir,Signorello,2012
42304,88,18.0,Sicilia,Red Blend,Tenuta RapitalÃ ,2013
42305,88,14.0,New York,Riesling,Three Brothers,2014
42306,88,36.0,Sicilia,Moscato,Colosi,2009
42309,89,27.0,New York,Cabernet Franc,Martha Clara,2014
42310,86,13.0,Veneto,Garganega,Fattori,2016
42312,89,27.0,California,Sauvignon Blanc,Medlock Ames,2015
42313,89,13.0,Washington,Riesling,Milbrandt,2014
42314,89,35.0,Washington,Malbec,Nefarious,2013
42315,89,50.0,Piemonte,Nebbiolo,Negretti,2012
42320,89,25.0,Washington,Chardonnay,Saviah,2014
42321,89,17.0,California,White Blend,Sea Monster,2014
42323,89,14.0,Washington,Red Blend,Three Rivers,2014
42325,89,30.0,California,White Blend,Las Positas,2014
42326,89,18.0,New York,RosÃ©,Lieb,2015
42327,89,35.0,New York,Sparkling Blend,Macari,2010
42329,83,9.0,California,Cabernet Sauvignon,Kirkland Signature,2011
42330,89,30.0,California,Sauvignon Blanc,Ojai,2014
42331,89,24.0,California,Tempranillo,ONX,2015
42332,89,16.0,Washington,Riesling,Pomum,2014
42334,89,89.0,Piemonte,Nebbiolo,Revello Fratelli,2012
42337,89,28.0,Washington,Dolcetto,Almquist,2009
42341,86,21.0,Oregon,Tempranillo,Abacela,2009
42343,86,14.0,California,Pinot Noir,Bonterra,2010
42347,86,16.0,California,Sauvignon Blanc,Koehler,2010
42352,86,18.0,Washington,RosÃ©,Love That Red,2016
42353,86,30.0,California,Sangiovese,Martin Ranch,2014
42354,86,20.0,New York,Riesling,McGregor,2015
42360,86,40.0,Washington,Tempranillo,Castillo De Feliciana,2013
42366,86,16.0,Veneto,Garganega,Corte Adami,2015
42368,86,13.0,California,Cabernet Sauvignon,Cupcake,2014
42371,86,30.0,Oregon,Bordeaux-style Red Blend,Grizzly Peak,2013
42376,86,50.0,Piemonte,Nebbiolo,Negro Giuseppe,2013
42377,86,11.0,California,Pinot Grigio,One Leaf,2013
42381,86,14.0,Burgundy,Pinot Noir,Patriarche PÃ¨re et Fils,2014
42382,86,28.0,Burgundy,Chardonnay,Pierre Merguey,2014
42385,86,43.0,Piemonte,Nebbiolo,Raineri Gianmatteo,2012
42391,86,16.0,California,Chardonnay,Jack's House,2014
42393,86,34.0,Burgundy,Chardonnay,Jean-Luc and Paul Aegerter,2014
42394,86,80.0,Piemonte,Nebbiolo,Josetta Saffirio,2012
42404,86,15.0,Burgundy,Chardonnay,ChÃ¢teau Vitallis,2015
42405,86,22.0,Burgundy,Chardonnay,Domaine Michel Goubard,2014
42406,90,28.0,California,Sauvignon Blanc,Passaggio,2014
42408,90,75.0,Tuscany,Sangiovese,Pietranera,2010
42410,90,49.0,California,Red Blend,HammerSky,2012
42411,90,85.0,California,Pinot Noir,Hirsch,2012
42413,90,80.0,Tuscany,Sangiovese,Lazzeretti,2011
42415,90,30.0,California,Chardonnay,Terlato,2014
42416,90,50.0,California,Chardonnay,Three Sticks,2013
42417,90,85.0,California,Cabernet Sauvignon,V. Sattui,2012
42418,90,65.0,Washington,Syrah,Va Piano,2013
42419,90,37.0,California,Chardonnay,Zepaltas,2013
42420,90,30.0,Tuscany,Red Blend,Vignavecchia,2010
42423,90,18.0,California,Chardonnay,De Loach,2013
42427,90,69.0,Tuscany,Sangiovese,Donatella Cinelli Colombini,2011
42428,90,30.0,New York,Riesling,Dr. Konstantin Frank,2014
42429,90,60.0,Tuscany,Red Blend,Fattoria di Magliano,2012
42430,90,24.0,California,Riesling,Fess Parker,2014
42432,90,43.0,Burgundy,Chardonnay,Au Pied du Mont Chauve,2012
42433,90,18.0,California,Vermentino,Bailiwick,2014
42434,90,90.0,Tuscany,Sangiovese,Banfi,2011
42435,90,50.0,Tuscany,Sangiovese,Brunelli Martoccia,2011
42437,84,25.0,California,Syrah,Wellington,2009
42438,84,13.0,Aquitaine,Bordeaux-style Red Blend,ChÃ¢teau La Rose du Pin,2011
42439,84,15.0,Aquitaine,Bordeaux-style White Blend,ChÃ¢teau Rousset-Caillau,2013
42442,84,18.0,New York,Pinot Blanc,Heron Hill,2013
42443,84,20.0,California,Zinfandel,Joullian,2013
42444,84,18.0,Alsace,White Blend,La Cave des Vignerons de Pfaffenheim,2012
42452,83,13.0,Aquitaine,Bordeaux-style Red Blend,ChÃ¢teau de Beauregard-Ducourt,2011
42455,83,17.0,Alsace,Pinot Noir,Hubert Meyer,2012
42458,83,11.0,Aquitaine,Bordeaux-style White Blend,ChÃ¢teau La Rose du Pin,2013
42461,93,35.0,Sicilia,Syrah,Principi di Spadafora,2008
42462,93,85.0,Sicilia,Nero d'Avola,COS,2007
42463,93,30.0,Oregon,Viognier,Cowhorn,2011
42465,93,80.0,Oregon,Pinot Noir,BergstrÃ¶m,2010
42466,93,100.0,California,Cabernet Sauvignon,Trefethen,2009
42467,93,75.0,California,Pinot Noir,Williams Selyem,2010
42468,93,58.0,Oregon,Pinot Noir,Rex Hill,2010
42469,93,52.0,Oregon,Pinot Noir,Rex Hill,2010
42470,93,75.0,California,Bordeaux-style Red Blend,Trefethen,2009
42474,93,75.0,California,Pinot Noir,Williams Selyem,2010
42477,93,65.0,California,Pinot Noir,Gary Farrell,2009
42479,93,65.0,Oregon,Pinot Noir,BergstrÃ¶m,2010
42482,93,50.0,California,Zinfandel,Williams Selyem,2010
42483,93,60.0,California,Pinot Noir,Williams Selyem,2010
42484,93,75.0,California,Bordeaux-style Red Blend,Martin Ray,2009
42488,93,82.0,California,Pinot Noir,Sea Smoke,2010
42489,92,60.0,Oregon,Pinot Noir,BergstrÃ¶m,2010
42491,88,17.0,Washington,Merlot,Diversion,2012
42494,88,65.0,Tuscany,Sangiovese,Fattoria di Lamole,2010
42495,88,24.0,Tuscany,Red Blend,Fattoria San Felo,2011
42496,88,38.0,Washington,Petit Verdot,Gifford Hirlinger,2012
42498,88,30.0,Washington,Merlot,Goose Ridge,2011
42501,88,34.0,Tuscany,Red Blend,Massi di Mandorlaia,2011
42502,88,16.0,Tuscany,Red Blend,Mazzei,2013
42504,88,20.0,Tuscany,Red Blend,Morisfarms,2011
42506,88,40.0,Washington,Syrah,:Nota Bene,2011
42507,88,50.0,Washington,Merlot,Obelisco Estate,2012
42508,88,20.0,New York,Pinot Gris,Osprey's Dominion,2013
42510,88,35.0,California,Chardonnay,Paul Mathew,2013
42512,88,59.0,California,Pinot Noir,Roadhouse Winery,2012
42518,88,25.0,Tuscany,Red Blend,Val delle Rose,2013
42519,88,52.0,California,Pinot Noir,Woodenhead,2011
42521,88,19.0,Tuscany,Red Blend,Il Conventino,2011
42523,88,16.0,Oregon,Pinot Noir,Corvallis Cellars,2011
42524,88,16.0,Alsace,Riesling,Domaine Fernand Engel,2011
42526,88,17.0,Alsace,Pinot Blanc,Domaine Roland Schmitt,2012
42528,88,53.0,Tuscany,Sangiovese,Felsina,2009
42530,88,25.0,California,Pinot Noir,Fog Head,2011
42535,88,35.0,California,Chardonnay,Krutz,2011
42536,88,18.0,Alsace,Pinot Gris,Lucien Albrecht,2012
42537,88,28.0,California,Syrah,Martin Lane Winery,2009
42538,88,26.0,Tuscany,Red Blend,Argiano,2011
42541,90,35.0,California,RosÃ©,Chiarello Family Vineyards,2012
42542,90,20.0,California,GewÃ¼rztraminer,Claiborne & Churchill,2012
42543,90,55.0,Oregon,Pinot Noir,David Hill,2010
42544,90,44.0,Veneto,White Blend,De Stefani,2010
42545,90,42.0,Burgundy,Pinot Noir,Domaine des Croix,2011
42546,89,14.0,California,Merlot,L de Lyeth,2011
42548,89,70.0,California,Pinot Noir,Lynmar,2011
42549,89,30.0,California,Sauvignon Blanc,Nitty Gritty,2011
42550,89,20.0,Oregon,Pinot Gris,Raptor Ridge,2012
42551,89,54.0,California,Pinot Noir,Saintsbury,2010
42552,89,20.0,Oregon,Riesling,Sineann,2012
42553,89,27.0,California,Tempranillo,Straight Line,2011
42554,89,48.0,Oregon,Pinot Noir,Tendril,2010
42556,89,22.0,Veneto,Glera,Adami,2011
42559,89,30.0,California,Zinfandel,Frog's Leap,2011
42561,89,45.0,California,Tempranillo,Hoyt Family Vineyards,2010
42563,89,40.0,New York,Cabernet Franc,Bedell,2011
42566,89,50.0,California,Chardonnay,Walt,2011
42568,89,24.0,New York,Meritage,Osprey's Dominion,2007
42571,85,28.0,New York,Sauvignon Blanc,Comtesse ThÃ©rÃ¨se,2011
42572,85,20.0,California,Chardonnay,F.J. Serra,2012
42576,85,20.0,California,Sauvignon Blanc,Kokomo,2012
42577,85,17.0,Burgundy,Pinot Noir,Manuel Olivier,2010
42580,85,22.0,California,Pinot Noir,Kendall-Jackson,2011
42583,85,20.0,Burgundy,Pinot Noir,Manuel Olivier,2010
42584,85,18.0,Tuscany,Vermentino,Marchesi de' Frescobaldi,2011
42586,85,15.0,Veneto,Garganega,Pasqua,2011
42590,85,30.0,Oregon,Tempranillo,Raptor Ridge,2011
42593,85,22.0,California,Cabernet Sauvignon,Silver Palm,2010
42597,85,10.0,Veneto,Garganega,Cantina di Soave,2011
42601,90,66.0,California,Pinot Noir,Maggy Hawk,2009
42602,90,17.0,Washington,Cabernet Sauvignon,Maryhill,2009
42603,90,25.0,Washington,Malbec,Maryhill,2009
42607,90,70.0,California,Tempranillo,Jarvis,2010
42610,90,29.0,California,Zinfandel,Ottimino Vineyards,2008
42611,90,24.0,Washington,Syrah,Plumb Cellars,2008
42612,90,35.0,Washington,MourvÃ¨dre,Robert Ramsay,2009
42617,90,56.0,Washington,Syrah,Sparkman,2009
42618,90,28.0,Washington,Red Blend,Sparkman,2009
42620,90,27.0,Washington,Bordeaux-style Red Blend,Adamant Cellars,2008
42621,90,25.0,California,Pinot Noir,Ampelos,2010
42622,90,80.0,Sicilia,Red Blend,Argiolas,2005
42623,90,45.0,California,Chardonnay,Babcock,2010
42624,90,18.0,California,RosÃ©,Balletto,2011
42627,84,30.0,California,RhÃ´ne-style Red Blend,San Antonio,2004
42628,84,17.0,New York,Cabernet Franc,Sheldrake Point,2005
42631,84,30.0,California,Petit Verdot,Opaque,2005
42634,84,24.0,New York,Cabernet Franc,Atwater,2005
42640,84,30.0,California,Cabernet Sauvignon,VJB,2005
42642,84,40.0,California,Zinfandel,Wilson,2005
42649,84,24.0,New York,Merlot,Sheldrake Point,2006
42651,86,20.0,California,Cabernet Sauvignon,Olema,2009
42655,86,20.0,California,Syrah,Santa Barbara Winery,2009
42657,86,16.0,California,Sauvignon Blanc,Shannon Ridge,2011
42661,86,24.0,Oregon,Chardonnay,Longplay,2010
42662,86,23.0,Burgundy,Pinot Noir,Louis Max,2010
42664,86,10.0,California,Pinot Grigio,McManis,2011
42667,86,11.0,California,Pinot Noir,Beaulieu Vineyard,2010
42670,86,15.0,Burgundy,Chardonnay,Cave de Lugny,2010
42675,86,18.0,Veneto,Glera,Val d'Oca,2011
42677,86,18.0,California,RhÃ´ne-style Red Blend,Morgan,2010
42678,86,26.0,California,Sauvignon Blanc,Ojai,2010
42682,89,12.0,Washington,Chardonnay,Charles Smith,2013
42683,89,45.0,California,Red Blend,Chateau Lettau,2013
42685,89,25.0,Tuscany,Sangiovese,Bibbiano,2012
42687,89,30.0,Washington,Petit Verdot,Gordon Estate,2013
42688,89,30.0,Tuscany,Sangiovese,Castelli del Grevepesa,2011
42694,89,39.0,Washington,Red Blend,Doyenne,2013
42697,89,65.0,Tuscany,Syrah,Fattoria di Magliano,2012
42698,89,21.0,California,Sauvignon Blanc,Atalon,2014
42699,89,80.0,Tuscany,Sangiovese,Banfi,2011
42701,89,12.0,Washington,Riesling,Charles Smith,2014
42702,89,50.0,Burgundy,Chardonnay,ChÃ¢teau de Santenay,2013
42703,89,40.0,Burgundy,Chardonnay,ChÃ¢teau de Santenay,2013
42706,89,34.0,Washington,Merlot,Merry Cellars,2013
42709,89,44.0,Tuscany,Sangiovese,Poggio Verrano,2009
42710,89,46.0,California,Petite Sirah,Proulx,2013
42712,87,31.0,Aquitaine,Bordeaux-style White Blend,ChÃ¢teau Suau,2005
42713,87,15.0,Aquitaine,Bordeaux-style Red Blend,ChÃ¢teau Suau,2006
42718,87,12.0,California,Zinfandel,Estancia,2008
42722,87,39.0,New York,Riesling,Hermann J. Wiemer,2008
42732,87,49.0,California,Syrah,Cloak & Dagger,2012
42733,87,25.0,Burgundy,Chardonnay,Domaine Louis Moreau,2014
42734,87,17.0,California,Cabernet Sauvignon,Edna Valley Vineyard,2013
42740,87,48.0,Tuscany,Sangiovese,Tornesi,2011
42742,87,20.0,California,Chardonnay,Tyler Florence,2014
42743,87,70.0,Tuscany,Sangiovese,Val di Suga,2010
42745,87,14.0,Washington,Merlot,Waterbrook,2014
42748,87,46.0,Tuscany,Red Blend,Bindella,2010
42749,87,18.0,Tuscany,Red Blend,Casaloste,2011
42751,87,50.0,Tuscany,Sangiovese,Agostina Pieri,2011
42753,87,22.0,New York,Red Blend,Anthony Road,2013
42754,87,40.0,Burgundy,Chardonnay,Au Pied du Mont Chauve,2013
42755,87,33.0,California,Cabernet Sauvignon,Balverne,2012
42758,87,23.0,California,Red Blend,Bota Box,2013
42759,87,45.0,New York,White Blend,Brooklyn Oenology,2014
42761,84,12.0,California,Chardonnay,Watts,2008
42763,84,14.0,Oregon,Riesling,Willamette Valley Vineyards,2008
42764,84,19.0,New York,Riesling,Belhurst,2008
42767,84,8.0,California,Cabernet Sauvignon,Coyote Creek,2008
42768,84,25.0,New York,Pinot Noir,Damiani,2007
42771,84,26.0,California,Chardonnay,Gundlach Bundschu,2007
42773,83,15.0,California,Chardonnay,Two Angels,2008
42774,83,12.0,California,Chardonnay,Watts,2007
42776,83,18.0,California,Merlot,Clos La Chance,2006
42777,83,18.0,California,Meritage,Clos La Chance,2007
42778,83,23.0,Oregon,Pinot Noir,Cubanisimo Vineyards,2007
42780,83,8.0,California,Viognier,Oak Grove,2008
42782,83,8.0,California,Chardonnay,Snap Dragon,2007
42783,83,15.0,California,Merlot,Aquinas,2007
42784,83,9.0,California,Cabernet Sauvignon,Butterfield Station,2008
42785,83,25.0,New York,Riesling,Heron Hill,2005
42789,92,50.0,California,Bordeaux-style Red Blend,J. Lohr,2012
42791,92,75.0,Piemonte,Nebbiolo,Luigi Baudana,2012
42792,92,69.0,Piemonte,Nebbiolo,Mauro Veglio,2012
42793,92,48.0,California,RhÃ´ne-style Red Blend,Paix Sur Terre,2014
42794,92,80.0,Piemonte,Nebbiolo,San Biagio,2012
42795,92,24.0,California,Viognier,Skinner,2014
42796,92,48.0,California,Chardonnay,Tantara,2014
42797,92,35.0,California,RhÃ´ne-style White Blend,Adelaida,2014
42798,92,45.0,Sicilia,Red Blend,Biondi,2013
42801,92,65.0,California,Bordeaux-style Red Blend,Burrell School Vineyards,2010
42802,92,35.0,California,Merlot,Byington,2013
42803,92,50.0,California,Pinot Noir,Chanin,2014
42806,92,35.0,California,Chardonnay,Comartin,2014
42808,92,44.0,Washington,Syrah,Efeste,2013
42809,92,55.0,California,Pinot Noir,Emeritus,2013
42812,92,28.0,Washington,Bordeaux-style Red Blend,Waters,2012
42814,92,28.0,Washington,White Blend,Waters,2015
42815,92,40.0,Washington,Syrah,William Church,2013
42817,91,40.0,Oregon,Chardonnay,Chehalem,2011
42818,91,29.0,California,Riesling,Coquelicot,2012
42822,91,38.0,Oregon,Syrah,Tyrus Evan,2010
42830,91,55.0,Oregon,Pinot Noir,Owen Roe,2012
42831,91,17.0,Oregon,Pinot Gris,Ponzi,2013
42834,91,48.0,Oregon,Pinot Noir,Saffron Fields Vineyard,2011
42835,91,39.0,California,Chardonnay,Alder Springs,2012
42842,91,20.0,Oregon,Pinot Gris,Coelho,2013
42844,91,40.0,California,Pinot Noir,Foley,2011
42847,83,8.0,California,Merlot,Domino,2012
42850,82,34.0,California,Cabernet Sauvignon,Summerwood,2010
42853,82,8.0,California,Merlot,Twisted,2012
42855,82,15.0,California,Cabernet Sauvignon,Dreaming Tree,2011
42857,82,10.0,California,Red Blend,Fog Head,2012
42860,82,28.0,California,Pinot Blanc,Las Positas,2012
42861,82,10.0,California,Merlot,Bogle,2011
42862,82,11.0,California,Zinfandel,Bogle,2011
42864,82,25.0,New York,White Blend,Palmer,2011
42866,82,11.0,California,Petite Sirah,Bogle,2011
42868,81,35.0,California,Petite Sirah,Las Positas,2011
42869,81,10.0,California,Petite Sirah,Peltier,2011
42870,81,32.0,California,Cabernet Sauvignon,Dunning Vineyards,2011
42871,81,32.0,California,Meritage,Dunning Vineyards,2010
42872,81,28.0,California,Pinot Noir,Felten Cellars,2011
42873,90,28.0,California,Red Blend,Kunde,2012
42875,90,13.0,Aquitaine,Bordeaux-style White Blend,Les Hauts de Lagarde,2015
42876,90,25.0,Washington,Merlot,Liberty Lake,2009
42877,90,80.0,Piemonte,Nebbiolo,San Biagio,2012
42878,90,30.0,Washington,Cabernet Sauvignon,Saviah,2013
42882,90,27.0,California,Chardonnay,Sonoma-Loeb,2014
42886,90,44.0,California,Pinot Noir,The Withers Winery,2014
42887,90,60.0,California,Cabernet Sauvignon,Trefethen,2013
42888,90,55.0,Piemonte,Nebbiolo,Viberti,2012
42889,90,32.0,Washington,Red Blend,Walla Walla Vintners,2013
42890,90,18.0,Washington,RosÃ©,Waters,2015
42891,90,35.0,New York,Merlot,WÃ¶lffer,2013
42892,90,24.0,New York,RosÃ©,WÃ¶lffer,2015
42893,90,32.0,California,Sauvignon Blanc,Yao Family Wines,2015
42894,90,60.0,California,Chardonnay,Della,2014
42899,90,30.0,California,Barbera,Bella Grace,2013
42900,90,75.0,Sicilia,Red Blend,Benanti,2012
42904,89,18.0,California,Viognier,a-non-ah-mus,2009
42905,89,30.0,California,Syrah,Bernat,2008
42906,89,25.0,Oregon,Riesling,Brooks,2009
42912,89,18.0,Oregon,Viognier,Melrose,2010
42915,89,45.0,California,Pinot Noir,Sequana,2009
42918,89,16.0,Oregon,Pinot Gris,Left Coast Cellars,2009
42919,89,26.0,California,Red Blend,Lorenzi Estate,2008
42920,89,25.0,California,Chardonnay,Au Bon Climat,2009
42923,87,22.0,Oregon,Merlot,Melrose,2005
42928,87,25.0,Tuscany,Sangiovese,Villa Calcinaia,2010
42929,87,17.0,Tuscany,Red Blend,Villa Calcinaia,2011
42930,87,44.0,Oregon,Pinot Noir,Vista Hills,2011
42931,87,28.0,Oregon,Pinot Noir,Vista Hills,2011
42933,87,20.0,Oregon,Pinot Noir,A to Z,2012
42934,87,24.0,Tuscany,Red Blend,Astorre Noti,2010
42936,87,15.0,Tuscany,Red Blend,Castello di Monastero,2011
42937,87,60.0,Oregon,Pinot Noir,Torii Mor,2011
42938,87,20.0,California,Petite Sirah,Tower 15,2011
42941,87,20.0,Oregon,Chardonnay,J. Scott Cellars,2012
42942,87,25.0,California,RosÃ©,JCB,2012
42943,87,14.0,Tuscany,Red Blend,La Castellina,2011
42946,87,21.0,Tuscany,Red Blend,Massi di Mandorlaia,2011
42948,89,48.0,Oregon,Pinot Noir,Coeur de Terre,2007
42949,89,17.0,Oregon,Pinot Gris,Coeur de Terre,2008
42959,89,52.0,Piemonte,Red Blend,Dessilani,2004
42964,89,30.0,Oregon,Chardonnay,Winderlea,2007
42966,89,22.0,California,Zinfandel,Pezzi King,2006
42968,89,19.0,California,Cabernet Sauvignon,Rodney Strong,2007
42969,89,45.0,Oregon,Pinot Noir,Anam Cara,2007
42974,89,31.0,Aquitaine,Bordeaux-style Red Blend,ChÃ¢teau Siaurac,2007
42977,81,16.0,California,Chardonnay,Fenestra,2008
42978,81,12.0,California,Chardonnay,Lockwood,2008
42982,81,10.0,California,RosÃ©,Glen Ellen,2008
42985,81,8.0,California,Chardonnay,Round Hill,2008
42988,80,8.0,California,Petite Sirah,Oak Grove,2008
42992,97,70.0,California,Pinot Noir,Lynmar,2007
42996,88,16.0,California,Meritage,Lyeth,2010
42997,88,55.0,Washington,Bordeaux-style Red Blend,Andrew Will,2009
42998,88,55.0,California,Pinot Noir,Armanino Family Cellars,2010
42999,88,22.0,California,Chardonnay,Bernardus,2010
43001,88,40.0,California,Pinot Noir,Center of Effort,2009
43014,87,65.0,California,Cabernet Sauvignon,Judd's Hill,2008
43021,87,13.0,California,Merlot,Francis Berwyn,2006
43022,87,18.0,California,Pinot Gris,Greenwood Ridge,2007
43026,87,60.0,California,Cabernet Sauvignon,Bardessono,2005
43028,87,49.0,California,Pinot Noir,Cakebread,2005
43031,87,28.0,Oregon,Merlot,Del Rio,2005
43037,87,52.0,California,Merlot,Sunstone,2005
43038,87,7.0,California,Chardonnay,Hilltown,2006
43039,87,35.0,California,Cabernet Sauvignon,J. Lohr,2005
43044,87,13.0,California,Cabernet Sauvignon,Francis Berwyn,2006
43045,87,13.0,California,Sauvignon Blanc,Francis Berwyn,2006
43049,93,37.0,California,Meritage,Leoness,2011
43050,93,80.0,Oregon,Pinot Noir,Vidon Vineyard,2010
43052,93,29.0,Oregon,Chardonnay,DanCin,2013
43055,93,45.0,Tuscany,Merlot,Fattoria Torre a Cona,2011
43057,93,75.0,California,Cabernet Sauvignon,Flora Springs,2012
43058,93,60.0,California,Pinot Noir,Flying Goat Cellars,2012
43063,93,48.0,Oregon,Pinot Noir,Elizabeth Chambers,2012
43064,93,35.0,Oregon,Pinot Noir,Elizabeth Chambers,2012
43065,93,55.0,California,Red Blend,Aperture,2011
43066,93,59.0,California,Syrah,Cerro Prieto,2010
43068,93,55.0,Oregon,Pinot Noir,Vidon Vineyard,2011
43069,93,50.0,Oregon,Pinot Noir,Vidon Vineyard,2012
43070,93,35.0,California,Pinot Noir,Lucas & Lewellen,2013
43071,93,55.0,California,Pinot Noir,MacPhail,2012
43072,93,40.0,California,Malbec,Martin Ranch,2012
43074,93,90.0,Tuscany,Red Blend,Petra,2012
43076,93,45.0,California,Zinfandel,Scott Harvey,2012
43079,93,30.0,Tuscany,Sangiovese,Tua Rita,2012
43080,88,25.0,California,Cabernet Sauvignon,Galante,2010
43082,88,38.0,California,Merlot,Keenan,2010
43083,88,35.0,California,Meritage,Kunde,2010
43084,88,18.0,California,Chardonnay,Lava Cap,2011
43085,88,45.0,Oregon,Pinot Noir,Arbor Brook,2011
43087,88,30.0,California,Zinfandel,Terra d'Oro,2011
43088,88,60.0,California,Pinot Noir,Tolosa,2011
43095,87,28.0,Oregon,Pinot Noir,Monte Ferro,2014
43099,87,25.0,Oregon,Cabernet Franc,Plaisance Ranch,2013
43110,87,30.0,Oregon,Pinot Noir,Ancient Cellars,2012
43113,87,35.0,California,Pinot Noir,Bouchaine,2012
43121,87,48.0,Alsace,Riesling,Domaine Zinck,2014
43123,87,35.0,California,Cabernet Sauvignon,White Oak,2012
43129,90,9.0,California,Chardonnay,Wheelhouse,2011
43130,90,45.0,California,Zinfandel,Zahtila,2008
43131,90,28.0,Washington,Syrah,Novelty Hill,2009
43132,90,22.0,Washington,Viognier,Novelty Hill,2011
43134,90,30.0,Aquitaine,Bordeaux-style White Blend,ChÃ¢teau Tour de Mirambeau,2010
43136,90,26.0,Washington,Syrah,Hawkins Cellars,2010
43137,90,35.0,Sicilia,Red Blend,Agricola Punica,2009
43138,90,55.0,California,RhÃ´ne-style Red Blend,Tablas Creek,2010
43145,89,22.0,Washington,Red Blend,Angel Vine,2010
43146,89,46.0,California,Cabernet Sauvignon,Artesa,2009
43149,89,20.0,Aquitaine,Bordeaux-style Red Blend,ChÃ¢teau de Terrefort-Quancard,2009
43151,89,16.0,Aquitaine,Bordeaux-style Red Blend,ChÃ¢teau La Rose du Pin,2010
43156,85,25.0,Burgundy,Chardonnay,Domaine L. Chatelain,2010
43158,85,16.0,California,Zinfandel,Francis Coppola,2009
43160,85,28.0,California,Bordeaux-style Red Blend,Galante,2009
43169,85,70.0,California,Cabernet Sauvignon,Kenwood,2007
43172,85,14.0,California,Zinfandel,Lapis Luna,2007
43173,85,17.0,Burgundy,Chardonnay,Louis Chevallier,2009
43176,84,26.0,New York,Pinot Noir,Inspire Moore,2009
43181,86,18.0,California,Vermentino,Indian Rock,2006
43182,86,16.0,New York,Cabernet Franc,Lakewood,2006
43183,86,18.0,California,RhÃ´ne-style Red Blend,Lavender Ridge,2005
43186,86,45.0,Oregon,Pinot Noir,Torii Mor,2006
43187,86,19.0,Veneto,Red Blend,Masi,2005
43191,86,20.0,California,Sangiovese,Lava Cap,2005
43192,87,26.0,California,Zinfandel,Howell Mountain Vineyards,2006
43193,87,24.0,California,Chardonnay,Liparita,2006
43194,87,50.0,California,Chardonnay,Vineyard 7&8,2006
43195,87,26.0,California,Syrah,White Oak,2005
43196,87,60.0,California,Grenache,Alta Maria,2006
43197,87,25.0,California,Chardonnay,Chateau St. Jean,2006
43205,87,28.0,California,Petite Sirah,Everett Ridge,2006
43206,87,55.0,Tuscany,White Blend,Fattoria Le Pupille,2005
43211,87,30.0,California,Pinot Noir,River Road,2006
43214,87,40.0,California,Pinot Noir,Sea Smoke,2006
43217,93,55.0,California,Pinot Noir,Roadhouse Winery,2009
43218,93,70.0,Burgundy,Chardonnay,Simonnet-Febvre,2008
43219,93,45.0,Washington,Syrah,Mark Ryan,2008
43220,93,95.0,Piemonte,Nebbiolo,Massolino,2007
43222,93,40.0,Piemonte,Nebbiolo,Michele Chiarlo,2007
43224,93,65.0,Piemonte,Nebbiolo,Moccagatta,2008
43225,93,66.0,California,Cabernet Sauvignon,Pride Mountain,2008
43226,93,65.0,Piemonte,Nebbiolo,Principiano Ferdinando,2006
43227,93,52.0,California,Pinot Noir,Siduri,2009
43228,93,80.0,Piemonte,Nebbiolo,Ciabot Berton,2007
43229,93,85.0,Piemonte,Nebbiolo,Damilano,2006
43231,93,18.0,California,Sauvignon Blanc,Easton,2009
43232,93,75.0,Piemonte,Nebbiolo,Elvio Cogno,2007
43234,93,45.0,California,Pinot Noir,Longoria,2009
43236,93,45.0,Washington,MourvÃ¨dre,Mark Ryan,2008
43237,93,95.0,Piemonte,Nebbiolo,Negretti,2006
