points,price,province,variety,winery,Year
91,30.0,California,Zinfandel,Joseph Swan Vineyards,2012
91,46.0,California,Syrah,Leoness,2013
91,50.0,California,Chardonnay,Miner,2014
91,80.0,California,Cabernet Sauvignon,Monte De Oro,2011
91,75.0,Piemonte,Nebbiolo,Olek Bondonio,2014
91,20.0,Oregon,Rosé,Paetra,2016
91,25.0,California,Petite Sirah,Chacewater,2013
91,38.0,California,Sauvignon Blanc,Clif Family,2016
91,80.0,Sicilia,Red Blend,Donnafugata,2012
91,24.0,Oregon,Pinot Gris,Duck Pond,2016
91,60.0,Oregon,Pinot Noir,Elk Cove,2015
91,42.0,Oregon,Pinot Noir,Ghost Hill,2014
91,55.0,Oregon,Pinot Noir,Ghost Hill,2014
91,85.0,California,Pinot Noir,Hirsch,2014
91,36.0,California,Pinot Noir,Saintsbury,2015
88,29.0,California,Cabernet Sauvignon,Cedarville Vineyard,2008
88,18.0,Oregon,Sauvignon Blanc,J. Christopher,2011
88,40.0,California,Pinot Noir,Lucia,2011
88,20.0,California,Chardonnay,Lynmar,2012
88,25.0,Washington,Viognier,McCrea Cellars,2010
88,24.0,California,Chardonnay,Talbott,2011
88,15.0,California,Chardonnay,Wente,2011
88,65.0,California,Pinot Noir,Woodenhead,2010
88,50.0,California,Cabernet Sauvignon,Peju,2010
88,30.0,California,Cabernet Sauvignon,Reaper,2009
88,18.0,California,Sauvignon Blanc,Alta Maria,2011
88,25.0,Washington,Cabernet Franc,Animale,2010
89,40.0,Tuscany,Sangiovese,Altesino,2012
89,33.0,Oregon,Chardonnay,Anam Cara,2013
89,35.0,Oregon,Chardonnay,Aubichon Cellars,2013
89,29.0,California,Cabernet Sauvignon,Cameron Hughes,2012
89,28.0,California,Chardonnay,Feliz Noche,2012
89,49.0,California,Pinot Noir,Foursight,2012
89,20.0,Tuscany,Red Blend,Mazzei,2012
89,25.0,California,Chardonnay,Occasio,2013
89,30.0,Tuscany,Red Blend,Pratesi,2012
89,36.0,Oregon,Pinot Noir,Silvan Ridge,2012
89,25.0,Tuscany,Red Blend,Tenuta degli Dei,2012
89,40.0,Oregon,Pinot Noir,Walnut City WineWorks,2012
88,18.0,Veneto,Glera,Adami,2016
88,22.0,Washington,Cabernet Sauvignon,Canoe Ridge,2014
88,50.0,Oregon,Pinot Noir,Colene Clemens,2014
88,20.0,California,Chardonnay,Smoke Tree,2015
88,26.0,California,Pinot Noir,Talbott,2015
88,20.0,California,Syrah,Terre Rouge,2014
88,24.0,California,Cabernet Sauvignon,Joseph Carr,2015
88,40.0,Oregon,Pinot Noir,Lachini,2015
86,20.0,California,Syrah,Morgan,2009
86,40.0,California,Chardonnay,Robert Mondavi,2009
86,25.0,Oregon,Pinot Noir,Stoller,2009
86,17.0,California,White Blend,Borra,2010
86,28.0,California,Syrah,Burgess,2008
86,23.0,California,Merlot,Robert Mondavi,2009
86,35.0,Washington,Bordeaux-style Red Blend,:Nota Bene,2011
86,35.0,California,Merlot,Peju,2012
86,10.0,Tuscany,Red Blend,Vecchia Cantina di Montepulciano,2013
86,24.0,Washington,Syrah,Voila!,2013
86,30.0,California,Cabernet Sauvignon,Chateau St. Jean,2012
86,14.0,Aquitaine,Sauvignon Blanc,Dourthe,2013
86,18.0,Washington,Chardonnay,Gravel Bar,2013
86,30.0,Washington,Chardonnay,Guardian,2013
86,14.0,Aquitaine,Rosé,Château de Marsan,2014
86,25.0,Aquitaine,Bordeaux-style Red Blend,Château de Piote,2011
86,38.0,California,Chardonnay,Cima Collina,2013
86,78.0,California,Merlot,Delectus,2012
86,12.0,Aquitaine,Rosé,Domaine du Claouset,2014
86,45.0,Tuscany,Red Blend,Dreolino,2011
86,20.0,Washington,Cabernet Sauvignon,Gravel Bar,2013
93,95.0,California,Rhône-style Red Blend,Justin,2010
93,60.0,California,Malbec,Krutz,2009
93,55.0,California,Pinot Noir,Joseph Phelps,2010
93,70.0,California,Red Blend,Krupp Brothers,2009
93,30.0,California,Cabernet Sauvignon,Laurel Glen,2009
93,47.0,California,Cabernet Sauvignon,Long Meadow Ranch,2009
93,72.0,Champagne-Ardenne,Champagne Blend,Louis Roederer,2007
93,74.0,California,Chardonnay,Ram's Gate,2010
93,80.0,Tuscany,Red Blend,Tenuta di Biserno,2008
93,55.0,Washington,Syrah,Betz Family,2010
93,94.0,Tuscany,Sangiovese Grosso,Caparzo,2006
93,45.0,Washington,Syrah,K Vintners,2009
93,35.0,Washington,Syrah,K Vintners,2009
93,30.0,Washington,Viognier,K Vintners,2011
93,90.0,California,Bordeaux-style Red Blend,Krupp Brothers,2009
93,44.0,Washington,Chardonnay,Woodward Canyon,2011
85,12.0,Washington,Chardonnay,Lone Birch,2012
85,37.0,Burgundy,Pinot Noir,Louis Jadot,2011
85,18.0,New York,Riesling,McGregor,2012
85,33.0,Washington,Tempranillo,Cave B,2011
85,13.0,New York,Gewürztraminer,Wagner,2012
85,32.0,Washington,Red Blend,Convergence Zone,2011
85,13.0,Washington,Moscato,Girly Girl,2012
85,35.0,California,Sauvignon Blanc,Rochioli,2013
85,16.0,New York,Riesling,Rooster Hill,2012
85,22.0,New York,Bordeaux-style Red Blend,Silver Thread,2012
85,16.0,New York,Riesling,Swedish Hill,2012
85,25.0,California,Chardonnay,Wattle Creek,2012
85,22.0,Washington,Cabernet Sauvignon,Wind Rose,2012
85,32.0,Burgundy,Pinot Noir,Henri de Villamont,2011
84,10.0,California,Cabernet Sauvignon,Leaping Horse,2011
84,32.0,Burgundy,Chardonnay,Bouchard Père & Fils,2012
94,35.0,Alsace,Riesling,Domaine Barmès-Buecher,2014
94,80.0,Alsace,Pinot Gris,Domaine Zind-Humbrecht,2015
94,55.0,Alsace,Riesling,Domaine Zind-Humbrecht,2015
94,55.0,Alsace,Riesling,Domaine Zind-Humbrecht,2015
94,36.0,Alsace,Riesling,Jean-Baptiste Adam,2015
94,40.0,Alsace,Riesling,Joseph Cattin,2013
94,75.0,California,Pinot Noir,Joseph Phelps,2014
94,28.0,Alsace,Pinot Gris,Domaine Barmès-Buecher,2014
94,90.0,California,Cabernet Sauvignon,Shafer,2014
94,55.0,California,Pinot Noir,Sweetzer Cellars,2014
94,63.0,Alsace,Pinot Gris,Leon Beyer,2010
94,40.0,Alsace,Riesling,Domaine Zind-Humbrecht,2015
94,55.0,Alsace,Pinot Gris,Domaine Zind-Humbrecht,2015
94,55.0,Alsace,Riesling,Domaines Schlumberger,2014
94,47.0,Alsace,Riesling,Domaine Ostertag,2015
94,58.0,Alsace,Pinot Gris,Domaine Ostertag,2015
94,30.0,California,Syrah,Rodney Strong,2014
94,20.0,Oregon,Riesling,Timothy Malone,2016
94,50.0,California,Cabernet Sauvignon,Elyse,2013
93,60.0,California,Pinot Noir,Joseph Swan Vineyards,2013
93,63.0,Alsace,Riesling,Leon Beyer,2010
93,50.0,Oregon,Pinot Noir,Purple Hands,2015
93,60.0,Oregon,Pinot Noir,Tendril,2014
93,100.0,California,Cabernet Sauvignon,Janzen,2011
93,55.0,California,Chardonnay,Lynmar,2012
93,35.0,California,Syrah,MacLaren,2011
93,65.0,Washington,Cabernet Sauvignon,Kiona,2012
93,61.0,Alsace,Riesling,Gustave Lorentz,2008
93,71.0,Piemonte,Nebbiolo,Prunotto,2011
93,48.0,Alsace,Riesling,Domaine Ostertag,2012
93,48.0,Alsace,Riesling,Domaine Zinck,2010
93,65.0,Piemonte,Nebbiolo,Produttori del Barbaresco,2009
93,50.0,California,Zinfandel,Robert Biale,2012
93,35.0,California,Bordeaux-style Red Blend,Brander,2011
93,62.0,Washington,Cabernet Sauvignon,Sparkman,2011
93,38.0,California,Chardonnay,La Follette,2012
93,40.0,California,Chardonnay,Lafond,2011
92,34.0,California,Chardonnay,Transcendence,2012
92,60.0,California,Syrah,B Cellars,2011
88,32.0,California,Sauvignon Blanc,Joseph Phelps,2006
88,30.0,California,Syrah,Miraflores,2004
88,70.0,California,Cabernet Sauvignon,Swanson,2004
88,27.0,Burgundy,Chardonnay,Pascal Bouchard,2006
88,26.0,California,Pinot Noir,Schug,2006
88,28.0,Burgundy,Chardonnay,La Chablisienne,2005
88,36.0,Oregon,Syrah,Tyrus Evan,2005
88,17.0,California,Chardonnay,Vina Robles,2006
91,65.0,California,Cabernet Sauvignon,Lancaster,2007
91,34.0,Veneto,Garganega,Coffele,2008
91,35.0,Washington,Cabernet Sauvignon,Columbia Crest,2007
91,37.0,Washington,Bordeaux-style Red Blend,Guardian,2007
91,38.0,Washington,Merlot,JM Cellars,2007
91,51.0,Burgundy,Pinot Noir,Joseph Drouhin,2007
89,50.0,Washington,Cabernet Sauvignon,Seven Hills,2014
89,45.0,Washington,Bordeaux-style Red Blend,Soos Creek,2014
89,42.0,Washington,Cabernet Sauvignon,Swiftwater Cellars,2014
89,22.0,California,Rosé,The Forager,2016
89,30.0,California,Chardonnay,Chalone,2014
89,25.0,California,Rosé,Dragonette,2016
89,24.0,Oregon,Chardonnay,Goodfellow,2014
89,28.0,California,Mourvèdre,Holly's Hill,2015
89,38.0,Washington,Bordeaux-style Red Blend,William Church,2013
89,14.0,Oregon,Pinot Gris,Wine by Joe,2015
89,19.0,Alsace,Gewürztraminer,Wolfberger,2016
89,40.0,Oregon,Pinot Noir,Yamhill Valley,2014
89,15.0,Oregon,Rosé,A to Z,2016
89,28.0,California,Sangiovese,Mt. Konocti Winery,2013
89,16.0,Alsace,Riesling,Paul Blanck,2016
89,18.0,Washington,Riesling,Sleight of Hand,2015
89,18.0,Washington,Cabernet Franc,Sleight of Hand,2016
87,15.0,Aquitaine,Bordeaux-style Red Blend,Château des Demoiselles,2014
87,17.0,Aquitaine,Bordeaux-style Red Blend,Château Haut Mouleyre,2014
87,17.0,Aquitaine,Bordeaux-style Red Blend,Château Léon,2014
87,21.0,California,Chardonnay,Director's Cut,2014
87,28.0,Alsace,Pinot Noir,Domaine Charles Frey,2014
87,39.0,California,Red Blend,Fenestra,2010
87,15.0,California,Riesling,Firestone,2014
87,30.0,California,Merlot,Flora Springs,2014
87,28.0,California,Barbera,Rubino Estates Winery,2012
91,95.0,California,Cabernet Sauvignon,Keating,2013
91,38.0,California,Chardonnay,August West,2014
91,49.0,California,Chardonnay,B Cellars,2014
91,85.0,California,Cabernet Sauvignon,Black Cordon,2013
91,45.0,Washington,Rhône-style Red Blend,Cairdeas,2014
91,55.0,California,Chardonnay,Duckhorn,2013
91,30.0,California,Syrah,Firestone,2013
91,30.0,California,Cabernet Sauvignon,Ironstone,2013
91,82.0,Burgundy,Chardonnay,Jean-Luc and Paul Aegerter,2014
91,65.0,California,Red Blend,Lobo,2014
91,45.0,California,Syrah,MCV,2014
91,16.0,California,Cabernet Sauvignon,Slow Press,2015
91,35.0,California,Sauvignon Blanc,Stonestreet,2015
91,60.0,Tuscany,Sangiovese,Tenuta San Giorgio,2012
91,75.0,Tuscany,Sangiovese,Castelli Martinozzi,2010
89,30.0,California,Chardonnay,Gloria Ferrer,2013
89,31.0,Sicilia,Red Blend,Agricola Punica,2013
89,15.0,Sicilia,Red Blend,Argiolas,2012
89,38.0,California,Chardonnay,Raymond,2013
89,22.0,California,Sauvignon Blanc,Sidebar,2014
89,45.0,California,Zinfandel,Lone Madrone,2012
89,22.0,California,Riesling,MaidenStoen,2013
89,30.0,Piemonte,Nebbiolo,Piazzo Armando,2012
89,33.0,Oregon,Pinot Noir,Laelaps,2013
89,45.0,Piemonte,Nebbiolo,Costa di Bussia,2011
90,15.0,Aquitaine,Bordeaux-style Red Blend,Château de Cornemps,2014
90,40.0,Aquitaine,Bordeaux-style Red Blend,Château de Lescours,2012
90,40.0,Aquitaine,Bordeaux-style Red Blend,Château Gauthier,2014
90,24.0,Oregon,Riesling,Chehalem,2015
90,60.0,California,Rhône-style White Blend,Kimsey,2013
90,68.0,California,Chardonnay,La Pitchoune,2013
90,28.0,California,Sauvignon Blanc,Dry Creek Vineyard,2014
90,56.0,California,Pinot Noir,Dutton Estate,2014
90,44.0,California,Rhône-style Red Blend,Epiphany,2013
92,48.0,California,Pinot Noir,Cottonwood Canyon,2010
92,24.0,California,Red Blend,Cottonwood Canyon,2012
92,44.0,California,Pinot Noir,Hartley-Ostini,2012
92,54.0,California,Pinot Noir,Saintsbury,2011
92,80.0,Piemonte,Nebbiolo,Paolo Manzone,2010
92,65.0,Piemonte,Nebbiolo,Produttori del Barbaresco,2009
92,32.0,California,Syrah,Joyce,2012
92,50.0,California,Chardonnay,Longoria,2012
95,40.0,Aquitaine,Bordeaux-style Red Blend,Château Branaire-Ducru,2000
94,80.0,Aquitaine,Bordeaux-style Red Blend,Château Rauzan-Ségla,2000
94,75.0,California,Syrah,Domaine de la Terre Rouge,2000
94,55.0,Aquitaine,Bordeaux-style Red Blend,Château Kirwan,2000
94,64.0,California,Cabernet Sauvignon,Darioush,2000
93,90.0,Aquitaine,Bordeaux-style Red Blend,Château Calon Ségur,2000
92,30.0,California,Chardonnay,Clos La Chance,2001
84,20.0,Oregon,Pinot Noir,Duck Pond,2008
84,10.0,Tuscany,Sangiovese,Ruffino,2008
84,45.0,California,Rhône-style Red Blend,Sunstone,2006
84,13.0,Veneto,Rosé,Monte del Frá,2007
84,26.0,California,Petite Sirah,Bianchi,2006
84,30.0,California,Zinfandel,Wine Guerrilla,2008
84,48.0,California,Meritage,Kings Mountain,2005
84,15.0,California,Tempranillo,Matchbook,2007
84,13.0,Veneto,Merlot,Pizzolato,2007
93,88.0,Veneto,"Corvina, Rondinella, Molinara",Nicolis,2005
93,80.0,California,Bordeaux-style Red Blend,Benziger,2008
93,80.0,Veneto,"Corvina, Rondinella, Molinara",Brigaldara,2007
93,81.0,Veneto,"Corvina, Rondinella, Molinara",Cesari,2005
93,62.0,Veneto,"Corvina, Rondinella, Molinara",Corte Rugolin,2005
93,65.0,Oregon,Pinot Noir,Rex Hill,2008
93,41.0,California,Sparkling Blend,Schramsberg,2008
93,75.0,California,Pinot Noir,Artesa,2009
93,40.0,California,Pinot Noir,Artesa,2009
93,100.0,Veneto,"Corvina, Rondinella, Molinara",Bertani,2004
92,65.0,Oregon,Pinot Noir,Arbor Brook,2009
92,55.0,Veneto,"Corvina, Rondinella, Molinara",Brigaldara,2007
92,90.0,Veneto,"Corvina, Rondinella, Molinara",Brunelli,2006
92,75.0,California,Cabernet Sauvignon,Rodney Strong,2008
92,62.0,Veneto,"Corvina, Rondinella, Molinara",Sartori,2004
86,32.0,California,Pinot Noir,Cebada,2016
86,28.0,Washington,Rhône-style Red Blend,Chandler Reach,2013
86,100.0,California,Viognier,Cielo,2016
86,20.0,Burgundy,Rosé,Domaine Gueguen,2016
86,14.0,New York,Riesling,Fulkerson,2016
86,16.0,Piemonte,Dolcetto,Veglio,2015
86,12.0,Washington,White Blend,Waterbrook,2016
86,15.0,California,Zinfandel,ZinPhomaniac,2015
86,13.0,Piemonte,Barbera,Araldica,2015
86,15.0,California,Chardonnay,Austerity,2016
86,25.0,New York,Chardonnay,Dr. Konstantin Frank,2013
86,20.0,Washington,Sangiovese,Finn Hill,2016
86,11.0,California,Merlot,Gen5,2015
86,24.0,California,White Blend,Naggiar,2016
86,32.0,California,Sauvignon Blanc,Tamber Bey,2016
86,25.0,Washington,Cabernet Sauvignon,The Conqueror,2014
87,48.0,California,Red Blend,Rideau,2012
87,30.0,California,Red Blend,Longoria,2011
87,12.0,California,Zinfandel,Gnarly Head,2012
87,20.0,Oregon,Chardonnay,Walnut City WineWorks,2012
87,25.0,California,Pinot Grigio,Sunstone,2007
87,26.0,California,Rosé,Sunstone,2006
87,48.0,California,Pinot Noir,Black Kite,2006
87,22.0,Burgundy,Chardonnay,Château de Fuissé,2006
87,16.0,California,Sauvignon Blanc,Brassfield,2006
87,25.0,California,Chardonnay,Iron Horse,2006
87,25.0,Burgundy,Chardonnay,Vincent,2006
87,35.0,California,Red Blend,Le Vigne di Domenico,2007
87,28.0,California,Chardonnay,Monticello Vineyards,2008
87,28.0,California,Sangiovese,Mosby,2007
87,22.0,California,Chardonnay,Hess,2008
87,35.0,California,Red Blend,Le Vigne di Domenico,2007
87,16.0,California,Chardonnay,Calera,2009
87,12.0,California,Syrah,Cameron Hughes,2007
87,20.0,California,Chardonnay,Charles Krug,2009
87,13.0,Aquitaine,Bordeaux-style White Blend,Château Tanesse,2009
87,12.0,Washington,Syrah,Columbia Crest,2007
87,8.0,Washington,Merlot,Columbia Crest,2008
87,15.0,Washington,Pinot Gris,Columbia Crest,2009
87,20.0,California,Chardonnay,Frei Brothers,2008
87,50.0,Washington,Bordeaux-style Red Blend,Spring Valley Vineyard,2007
87,22.0,California,Chardonnay,Sanford,2009
87,50.0,California,Pinot Noir,Twomey,2009
87,50.0,California,Pinot Noir,Twomey,2009
87,50.0,California,Pinot Noir,Clos La Chance,2008
87,16.0,California,Sauvignon Blanc,Girard,2010
87,30.0,Oregon,Pinot Noir,Brandborg,2008
87,15.0,Veneto,Garganega,Inama,2009
87,20.0,Veneto,Garganega,Le Battistelle,2007
87,14.0,Veneto,Garganega,Nardello,2008
87,25.0,California,Pinot Noir,Santa Barbara Winery,2009
90,29.0,Tuscany,Red Blend,Isole e Olena,2013
90,14.0,Oregon,Pinot Gris,Kings Ridge,2014
90,75.0,California,Pinot Noir,Walt,2013
90,38.0,California,Pinot Noir,Wrath,2013
90,45.0,California,Tempranillo,Artesa,2012
90,35.0,California,Syrah,Bernat,2010
90,50.0,California,Cabernet Sauvignon,Brander,2013
90,39.0,California,Pinot Noir,Byington,2012
90,45.0,Oregon,Pinot Noir,Carlton Hill,2011
90,45.0,Oregon,Pinot Noir,Carlton Hill,2013
90,30.0,California,Syrah,Firestone,2012
90,30.0,California,Cabernet Sauvignon,Geyser Peak,2012
89,28.0,Oregon,Chardonnay,Alchemist,2013
89,50.0,Oregon,Pinot Noir,Aubichon Cellars,2014
89,22.0,California,Petit Verdot,Broken Earth,2012
89,35.0,Tuscany,Red Blend,Cecchi,2013
89,20.0,California,Riesling,Claiborne & Churchill,2014
89,50.0,California,Cabernet Franc,Corner 103,2013
90,42.0,California,Syrah,Vasco Urbano,2012
90,40.0,Oregon,Pinot Noir,Walnut City WineWorks,2012
90,24.0,California,Pinot Gris,Wargin Wines,2013
90,15.0,California,Zinfandel,Jamieson Ranch,2012
90,45.0,Tuscany,Red Blend,Colle Spinello,2007
90,38.0,Oregon,Pinot Noir,Goodfellow,2012
90,75.0,California,Cabernet Sauvignon,12C Wines,2012
90,72.0,Tuscany,Red Blend,Banfi,2011
90,68.0,California,Chardonnay,Brewer-Clifton,2012
90,50.0,Oregon,Pinot Noir,Carden,2010
90,48.0,California,Pinot Noir,Sojourn,2013
90,25.0,Oregon,Chardonnay,Stoller,2014
90,45.0,Oregon,Chardonnay,Knudsen,2013
90,24.0,Tuscany,Red Blend,Tenuta Sette Cieli,2011
90,51.0,Tuscany,Red Blend,Leopoldo I di Toscana,2011
84,20.0,California,Chardonnay,Testarossa,2012
84,20.0,New York,Chardonnay,Osprey's Dominion,2010
84,25.0,California,Merlot,Wine Spots,2011
84,8.0,California,Cabernet Sauvignon,Twisted,2012
84,8.0,California,Zinfandel,Twisted,2012
84,35.0,Aquitaine,Bordeaux-style Red Blend,Château de Janicon,2011
84,20.0,Aquitaine,Bordeaux-style Red Blend,Château du Moulin Rouge,2011
84,19.0,Aquitaine,Bordeaux-style Red Blend,Château la Fleur,2011
84,16.0,California,Pinot Noir,Chime,2011
84,13.0,California,Pinot Blanc,Girasole,2012
84,23.0,California,Cabernet Sauvignon,Bota Box,2012
84,35.0,Aquitaine,Bordeaux-style Red Blend,Château Aney,2011
84,12.0,California,Cabernet Sauvignon,Gnarly Head,2012
84,12.0,California,Pinot Noir,Gnarly Head,2012
90,36.0,California,Sauvignon Blanc,Margerum,2014
90,65.0,California,Cabernet Sauvignon,Martin Ray,2013
90,65.0,California,Cabernet Sauvignon,Martin Ray,2013
90,26.0,California,Chardonnay,Matanzas Creek,2013
90,48.0,California,Red Blend,MCV,2013
90,46.0,Washington,Petit Verdot,Merry Cellars,2013
90,46.0,Washington,Malbec,Merry Cellars,2013
90,42.0,California,Cabernet Franc,Monticello Vineyards,2012
90,24.0,California,Malbec,Naggiar,2013
90,39.0,California,Zinfandel,Ousterhout,2012
90,60.0,Tuscany,Sangiovese,Piccini,2010
90,38.0,California,Red Blend,Quivira,2013
90,30.0,California,Pinot Noir,Row Eleven,2013
90,60.0,Tuscany,Sangiovese,Podere Scopetone,2011
90,70.0,Tuscany,Sangiovese,Sesta di Sopra,2011
90,28.0,Washington,Syrah,Tamarack Cellars,2013
90,32.0,Tuscany,Red Blend,Cecchi,2011
90,48.0,California,Cabernet Sauvignon,Apriori,2014
90,66.0,Tuscany,Sangiovese,Argiano,2011
90,48.0,California,Pinot Noir,Buena Vista,2013
90,25.0,New York,Gewürztraminer,Dr. Konstantin Frank,2014
87,15.0,Veneto,Glera,Andreola,2014
87,26.0,California,Rosé,Black Stallion,2014
87,18.0,California,Cabernet Sauvignon,Vinum,2013
87,32.0,California,Pinot Noir,Von Holt,2013
87,30.0,Oregon,Pinot Noir,Portlandia,2013
87,26.0,California,Sauvignon Blanc,Joullian,2014
89,50.0,California,Cabernet Sauvignon,Schug,2004
89,30.0,Washington,Malbec,Tagaris,2006
89,28.0,Washington,Merlot,Tamarack Cellars,2006
89,35.0,Burgundy,Pinot Noir,Henri de Villamont,2005
89,50.0,Burgundy,Pinot Noir,Louis Latour,2005
89,22.0,California,Chardonnay,Zina Hyde Cunningham,2005
89,37.0,Washington,Syrah,Page Cellars,2005
89,18.0,Washington,Chardonnay,Tamarack Cellars,2006
89,19.0,Washington,Merlot,Three Rivers,2005
89,45.0,California,Pinot Noir,La Fenêtre,2005
89,40.0,Burgundy,Pinot Noir,Louis Jadot,2005
92,40.0,California,Cabernet Sauvignon,Souverain,2004
92,25.0,Washington,White Blend,Buty,2006
92,38.0,Washington,Red Blend,DeLille,2005
92,42.0,California,Chardonnay,Tandem,2006
92,59.0,California,Pinot Noir,Testarossa,2006
92,30.0,Washington,Malbec,Walla Walla Vintners,2005
92,40.0,Washington,Syrah,Fielding Hills,2005
92,37.0,California,Syrah,Ojai,2003
92,55.0,California,Chardonnay,Testarossa,2006
92,80.0,California,Syrah,Domaine de la Terre Rouge,2005
91,29.0,Aquitaine,Bordeaux-style Red Blend,Château d'Agassac,2012
91,45.0,California,Chardonnay,Foley,2012
91,55.0,California,Pinot Noir,Gary Farrell,2012
91,45.0,California,Nebbiolo,Giornata,2011
91,25.0,Washington,Pinot Noir,Analemma,2012
91,45.0,California,Petite Sirah,Aver Family Vineyards,2011
91,79.0,Tuscany,Sangiovese,Castelgiocondo,2010
91,18.0,California,Sangiovese,Pietra Santa,2010
89,42.0,California,Cabernet Sauvignon,Stonestreet,2005
88,13.0,California,Zinfandel,Karly,2005
88,54.0,California,Pinot Noir,Longoria,2006
88,93.0,California,Red Blend,Sunstone,2005
88,24.0,California,Chardonnay,Riverbench,2006
88,13.0,California,Zinfandel,Francis Berwyn,2006
87,16.0,Washington,Cabernet Sauvignon,Chateau Ste. Michelle,2005
87,25.0,California,Cabernet Sauvignon,Courtney Benham,2006
87,36.0,California,Red Blend,Crane Brothers,2005
87,6.0,Washington,Chardonnay,Pine & Post,2006
87,80.0,California,Cabernet Sauvignon,St. Clement,2005
87,100.0,California,Cabernet Sauvignon,Janzen,2006
87,40.0,California,Syrah,Eric Kent,2006
87,14.0,California,Syrah,Hahn,2007
87,46.0,California,Chardonnay,Alpha Omega,2006
87,15.0,California,Chardonnay,Cameron Hughes,2007
87,38.0,California,Cabernet Sauvignon,Clif Family,2006
90,40.0,California,Rhône-style Red Blend,kukkula,2013
90,42.0,California,Red Blend,Le Vigne,2013
90,65.0,California,Zinfandel,Lorenzi Estate,2012
90,20.0,Alsace,Pinot Blanc,Domaine Weinbach,2015
90,18.0,Oregon,Pinot Gris,Elizabeth Chambers,2014
90,55.0,California,Pinot Noir,Goldeneye,2013
90,22.0,Oregon,Pinot Noir,Willamette Valley Vineyards,2015
90,25.0,California,Riesling,Trefethen,2015
90,36.0,California,Rhône-style Red Blend,Grey Wolf Cellars,2013
90,36.0,California,Zinfandel,Grgich Hills,2012
90,55.0,California,Bordeaux-style Red Blend,Halter Ranch,2013
90,28.0,California,Cabernet Sauvignon,Joleté,2013
90,36.0,California,Rhône-style Red Blend,Andrew Murray,2013
90,42.0,California,Grenache,Casa Dumetz,2014
90,15.0,Aquitaine,Rosé,Château Suau,2015
90,55.0,Alsace,Pinot Noir,Domaine Barmès-Buecher,2013
85,25.0,California,Sauvignon Blanc,Apsara,2012
85,27.0,California,Red Blend,Bodega de Edgar,2010
85,13.0,California,Red Blend,Cameron Hughes,2009
85,12.0,California,Zinfandel,Cline,2012
85,17.0,California,Sauvignon Blanc,Santa Barbara Winery,2012
85,19.0,California,Chardonnay,Vina Robles,2012
85,13.0,Washington,Merlot,Hyatt,2011
85,34.0,California,Red Blend,JR Wine,2011
85,14.0,Washington,Riesling,Kana,2012
85,12.0,Alsace,White Blend,Kuentz-Bas,2011
85,24.0,Washington,Cabernet Sauvignon,Mercer,2009
84,12.0,California,Chardonnay,Morro Bay,2011
84,14.0,California,Chardonnay,Pedroncelli,2012
84,40.0,California,Cabernet Sauvignon,Souverain,2009
87,13.0,California,Chardonnay,Lyeth,2008
87,19.0,California,Pinot Noir,Lyeth,2008
87,12.0,Tuscany,Chardonnay,Ruffino,2008
87,28.0,California,Pinot Noir,Schug,2008
87,19.0,Burgundy,Chardonnay,Simonnet-Febvre,2008
87,22.0,Tuscany,Rosé,Il Poggione,2008
87,35.0,California,Petite Sirah,J. Lohr,2007
87,22.0,California,Sangiovese,Muscardini,2009
87,10.0,California,Cabernet Sauvignon,Leaping Horse,2014
87,30.0,Alsace,Gewürztraminer,Leon Beyer,2015
87,23.0,California,Pinot Noir,Manzoni,2015
87,24.0,New York,Cabernet Franc,Woodbury,2013
87,30.0,California,Barbera,Sarah's Vineyard,2012
87,16.0,New York,Chardonnay,Silver Thread,2014
87,19.0,California,Rosé,Sofia,2015
87,32.0,California,Zinfandel,Summit Lake,2011
87,30.0,Tuscany,Sangiovese,Il Poggione,2014
87,36.0,California,Viognier,Terra Valentine,2014
87,14.0,California,Chardonnay,Maddalena,2014
87,34.0,New York,Riesling,Millbrook,2014
87,14.0,California,Zinfandel,Oak Ridge,2014
87,22.0,California,Pinot Noir,Poiema,2014
88,22.0,Washington,Rosé,Gård,2016
88,65.0,Piemonte,Nebbiolo,La Fusina,2013
88,15.0,New York,Riesling,Lakewood,2015
88,18.0,Aquitaine,Bordeaux-style Red Blend,Les Vignerons Réunis de Monségur,2015
88,54.0,Piemonte,Nebbiolo,Prunotto,2013
88,20.0,California,Rosé,Renwood,2016
88,48.0,Washington,Rhône-style Red Blend,Rôtie Cellars,2015
88,34.0,California,Chardonnay,Stag's Leap Wine Cellars,2015
88,18.0,Washington,Riesling,Tempus Cellars,2015
88,40.0,Washington,Red Blend,Ambassador Vineyard,2014
88,50.0,Piemonte,Nebbiolo,Aurelio Settimo,2013
88,39.0,Washington,Petit Verdot,Barrister,2013
88,25.0,California,Rosé,Bernardus,2016
88,42.0,Washington,Chardonnay,Buty,2015
84,28.0,California,Mourvèdre,Suncé Vineyard & Winery,2009
84,20.0,Aquitaine,Bordeaux-style Red Blend,Château de Parenchère,2009
84,10.0,California,Pinot Noir,Concannon,2009
84,39.0,California,Zinfandel,HammerSky,2008
84,25.0,California,Chardonnay,Manzanita Creek,2010
84,30.0,California,Syrah,Olabisi,2006
84,12.0,Veneto,Rosé,Tommasi,2009
84,65.0,California,Cabernet Sauvignon,Jeff Gordon,2007
84,12.0,California,Sauvignon Blanc,Pedroncelli,2010
84,25.0,California,Chardonnay,Pure Cru,2009
