province,year,variety,points
Sicilia,2012,Nero d'Avola,87
Sicilia,2012,Pinot Nero,87
Sicilia,2013,Chardonnay,87
Champagne-Ardenne,2007,Champagne Blend,94
Champagne-Ardenne,2009,Chardonnay,94
Oregon,2013,Pinot Noir,94
Champagne-Ardenne,2008,Champagne Blend,94
California,2011,Syrah,94
California,2013,Zinfandel,94
California,2012,Chardonnay,94
Oregon,2012,Pinot Noir,94
Veneto,2012,Glera,94
California,2012,Cabernet Sauvignon,93
California,2012,Cabernet Sauvignon,93
California,2013,Zinfandel,93
California,2013,Pinot Noir,93
California,2012,Syrah,93
California,2012,Pinot Noir,93
California,2013,Chardonnay,93
Alsace,2012,Sparkling Blend,93
California,2011,Cabernet Sauvignon,93
Champagne-Ardenne,2004,Chardonnay,93
California,2012,Cabernet Sauvignon,93
California,2011,Syrah,93
California,2011,Syrah,93
California,2012,Zinfandel,93
Oregon,2014,Pinot Noir,88
Burgundy,2014,Pinot Noir,88
Burgundy,2014,Pinot Noir,88
Oregon,2014,Chardonnay,88
Piedmont,2013,Nebbiolo,88
California,2012,Claret,88
Burgundy,2013,Chardonnay,88
Burgundy,2015,Chardonnay,88
Piedmont,2012,Nebbiolo,88
Piedmont,2008,Nebbiolo,88
Piedmont,2013,Nebbiolo,88
California,2014,Pinot Noir,88
California,2011,Bordeaux-style Red Blend,88
Oregon,2014,Pinot Noir,88
Burgundy,2014,Chardonnay,88
California,2014,Viognier,88
California,2011,Rhône-style Red Blend,88
Alsace,2011,Riesling,88
California,2012,Sauvignon Blanc,88
Veneto,2010,Red Blend,87
Veneto,2009,Red Blend,87
Veneto,2009,Red Blend,87
Veneto,2008,Red Blend,87
Veneto,2011,Red Blend,87
Veneto,2009,Red Blend,87
Veneto,2010,Red Blend,87
California,2010,Cabernet Franc,87
Washington,2010,Merlot,87
Veneto,2009,Red Blend,87
California,2007,Red Blend,87
California,2007,Sparkling Blend,87
California,2008,Sparkling Blend,87
Washington,2011,Red Blend,87
California,2010,Bordeaux-style Red Blend,87
California,2010,Meritage,87
California,2011,Red Blend,87
Veneto,2010,Red Blend,87
Alsace,2012,Pinot Gris,87
California,2006,Red Blend,83
California,2007,Merlot,83
California,2006,Chardonnay,83
California,2006,Syrah,83
California,2007,Cabernet Sauvignon,82
California,2009,Viognier,82
California,2009,Rosé,82
California,2006,Sangiovese,82
California,2007,Red Blend,82
California,2008,Red Blend,87
Oregon,2009,Pinot Noir,87
California,2009,Roussanne-Viognier,87
California,2008,Chardonnay,87
California,2007,Malbec,87
Aquitaine,2010,Bordeaux-style White Blend,87
California,2009,Chardonnay,87
Aquitaine,2008,Bordeaux-style White Blend,87
California,2009,Chardonnay,87
California,2008,Chardonnay,87
California,2013,Bordeaux-style Red Blend,92
California,2014,Cabernet Sauvignon,92
California,2015,Pinot Noir,92
Piedmont,2013,Nebbiolo,92
California,2012,Rhône-style Red Blend,92
California,2016,Arneis,92
California,2013,Grenache,92
Aquitaine,2015,Bordeaux-style Red Blend,92
Aquitaine,2015,Bordeaux-style Red Blend,92
Aquitaine,2010,Bordeaux-style White Blend,92
Aquitaine,2014,Bordeaux-style White Blend,92
California,2015,Grenache,92
California,2015,Pinot Noir,92
Aquitaine,2014,Bordeaux-style Red Blend,91
Aquitaine,2015,Bordeaux-style Red Blend,91
Aquitaine,2015,Bordeaux-style Red Blend,91
Aquitaine,2015,Bordeaux-style Red Blend,91
Aquitaine,2015,Bordeaux-style Red Blend,91
Aquitaine,2015,Bordeaux-style Red Blend,91
Aquitaine,2015,Bordeaux-style Red Blend,91
Aquitaine,2015,Bordeaux-style Red Blend,91
New York,2012,Riesling,87
Washington,2010,Cabernet Sauvignon,87
Burgundy,2011,Pinot Noir,87
Burgundy,2012,Chardonnay,87
California,2012,Chardonnay,87
New York,2012,Riesling,87
Washington,2010,Cabernet Sauvignon,87
Burgundy,2012,Chardonnay,87
California,2011,Zinfandel,87
California,2012,Grenache,87
California,2010,Fumé Blanc,86
Tuscany,2011,White Blend,86
Burgundy,2011,Chardonnay,86
Tuscany,2011,Rosato,86
California,2010,Syrah,86
California,2010,Syrah,86
Tuscany,2011,Sémillon,86
Tuscany,2011,Rosato,86
California,2009,Cabernet Sauvignon,86
California,2010,Pinot Noir,86
Tuscany,2011,Vermentino,86
California,2010,Pinot Noir,86
California,2009,Zinfandel,86
California,2008,Syrah,86
Tuscany,2011,Sangiovese,86
New York,2010,Riesling,86
California,2010,Red Blend,86
Washington,2010,Rhône-style Red Blend,86
California,2011,Chardonnay,86
Burgundy,2010,Chardonnay,86
California,2012,Pinot Noir,90
California,2012,Pinot Noir,90
California,2010,Cabernet Sauvignon,90
Aquitaine,2013,Sauvignon,90
Piedmont,2009,Nebbiolo,90
California,2012,Pinot Noir,90
Piedmont,2010,Nebbiolo,90
California,2012,Pinot Noir,90
California,2012,Pinot Noir,90
California,2011,Cabernet Sauvignon-Merlot,90
Piedmont,2009,Nebbiolo,90
California,2013,Sauvignon Blanc,90
California,2009,Montepulciano,89
Washington,2008,Merlot,89
California,2009,Pinot Noir,89
California,2009,Petite Sirah,89
Washington,2008,Rhône-style Red Blend,89
Washington,2007,Syrah,89
Washington,2007,Tempranillo,89
California,2009,Zinfandel,89
California,2009,Pinot Noir,89
California,2007,Merlot,89
Sicilia,2010,White Blend,88
Oregon,2011,Riesling,88
Oregon,2011,Grenache,88
Oregon,2010,Pinot Noir,88
California,2010,Cabernet Sauvignon,88
Sicilia,2011,Vermentino,88
Sicilia,2011,White Blend,88
California,2011,Pinot Noir,88
California,2009,Cabernet Franc,88
Oregon,2009,Pinot Noir,88
California,2010,Chardonnay,88
California,2008,Merlot,88
Aquitaine,2010,Bordeaux-style Red Blend,88
Oregon,2010,Pinot Noir,88
Oregon,2011,Chardonnay,88
Oregon,2011,Pinot Gris,88
Sicilia,2011,White Blend,88
Sicilia,2010,Red Blend,88
California,2010,Chardonnay,86
Oregon,2010,Pinot Noir,86
California,2010,Barbera,86
California,2011,Chardonnay,86
Aquitaine,2011,Bordeaux-style Red Blend,86
Sicilia,2011,Vermentino,86
California,2011,Chenin Blanc-Viognier,86
California,2010,Pinot Noir,86
Sicilia,2011,Grillo,86
Sicilia,2011,Insolia,86
California,2010,Merlot,86
California,2011,Pinot Noir,86
California,2010,Bordeaux-style Red Blend,86
Aquitaine,2010,Bordeaux-style Red Blend,86
Aquitaine,2010,Bordeaux-style Red Blend,86
California,2010,Petit Verdot,86
California,2012,Chardonnay,86
Oregon,2012,Riesling,86
Aquitaine,2011,Bordeaux-style Red Blend,86
Aquitaine,2012,Bordeaux-style White Blend,86
Aquitaine,2011,Bordeaux-style Red Blend,86
Aquitaine,2011,Bordeaux-style Red Blend,86
California,2009,Cabernet Sauvignon,86
Tuscany,2011,Red Blend,86
California,2011,Zinfandel,86
California,2010,Rhône-style Red Blend,86
California,2012,Pinot Noir,86
Aquitaine,2012,Bordeaux-style White Blend,86
California,2012,Sauvignon Blanc,86
California,2012,Chardonnay,86
Aquitaine,2014,Bordeaux-style Red Blend,92
Tuscany,2012,Red Blend,92
California,2013,Cabernet Sauvignon,92
California,2014,Syrah,92
California,2013,Syrah,92
Tuscany,2013,Sangiovese,92
California,2014,Pinot Noir,92
Tuscany,2012,Sangiovese,92
Tuscany,2013,Red Blend,92
Tuscany,2012,Sangiovese,92
Oregon,2014,Pinot Noir,92
Tuscany,2012,Sangiovese,92
California,2014,Pinot Noir,92
Alsace,2014,Riesling,92
California,2013,Red Blend,92
California,2014,Pinot Noir,92
Alsace,2015,Pinot Noir,92
Alsace,2013,Pinot Noir,92
Alsace,2014,Gewürztraminer,92
California,2014,Pinot Blanc,92
California,2013,Red Blend,92
California,2015,Sauvignon Blanc,92
California,2015,Roussanne,92
Tuscany,2012,Sangiovese,92
Oregon,2014,Pinot Noir,92
California,2014,Red Blend,92
Tuscany,2012,Sangiovese,92
California,2007,Rosé,80
Oregon,2007,Pinot Noir,80
California,2005,Cabernet Sauvignon,80
California,2005,Merlot,80
Oregon,2006,Chardonnay,80
California,2007,Cabernet Sauvignon,80
California,2006,Rhône-style Red Blend,80
California,2006,Cabernet Sauvignon,96
California,2004,Bordeaux-style Red Blend,96
California,2005,Bordeaux-style Red Blend,96
California,2006,Cabernet Sauvignon,96
California,2006,Cabernet Sauvignon,95
California,2005,Cabernet Sauvignon,95
California,2006,Bordeaux-style Red Blend,95
California,2006,Cabernet Sauvignon,95
California,2005,Bordeaux-style Red Blend,94
California,2007,Pinot Noir,94
Tuscany,2004,Sangiovese Grosso,94
California,2005,Cabernet Sauvignon,94
California,2016,Viognier,89
Washington,2013,Red Blend,89
Washington,2016,Grüner Veltliner,89
Washington,2014,Carmenère,89
California,2015,Grenache Blanc,89
California,2015,Viognier,89
California,2013,Meritage,89
California,2014,Chardonnay,89
Washington,2014,Syrah,89
California,2015,Zinfandel,89
Alsace,2016,Gewürztraminer,89
Alsace,2016,Gewürztraminer,89
Alsace,2016,Pinot Blanc,89
Washington,2014,Cabernet Franc,89
California,2015,Zinfandel,89
Alsace,2015,Pinot Noir,89
Washington,2015,Cabernet Sauvignon,89
Washington,2015,Chardonnay,89
Washington,2015,Bordeaux-style Red Blend,89
Washington,2014,Bordeaux-style Red Blend,89
New York,2005,Bordeaux-style Red Blend,84
New York,2008,Chardonnay,84
New York,2005,Cabernet Sauvignon,84
New York,2007,Chardonnay,84
New York,2008,Rosé,84
California,2008,Cabernet Sauvignon,84
California,2007,Chardonnay,84
New York,2007,Cabernet Sauvignon,84
Piedmont,2007,Arneis,84
Piedmont,2007,Dolcetto,84
New York,2005,Cabernet Sauvignon,84
California,2012,Red Blend,86
California,2014,White Blend,86
California,2014,Pinot Noir,86
Oregon,2014,Pinot Noir,86
California,2013,Syrah,86
California,2014,Chardonnay,86
California,2014,Pinot Noir,86
California,2013,Pinot Noir,86
California,2010,Cabernet Sauvignon,86
California,2011,Merlot,86
California,2012,Petite Sirah,86
California,2013,Pinot Noir,86
Tuscany,2013,Red Blend,86
California,2009,G-S-M,91
Washington,2009,Malbec,91
Washington,2009,Cabernet Sauvignon,91
Washington,2009,Bordeaux-style Red Blend,91
California,2011,White Blend,91
California,2010,Pinot Noir,91
California,2010,Syrah,91
California,2010,Syrah,91
California,2009,Cabernet Sauvignon,91
California,2009,Grenache,91
California,2013,Pinot Noir,84
Tuscany,2012,Red Blend,84
California,2012,Pinot Noir,84
Washington,2013,Chardonnay,84
Washington,2013,Chardonnay,84
Tuscany,2013,Red Blend,84
Washington,2013,Cabernet Sauvignon,84
Washington,2014,Sauvignon Blanc,84
California,2012,Pinot Noir,84
Aquitaine,2014,Rosé,84
Aquitaine,2014,Bordeaux-style White Blend,84
Aquitaine,2010,Sparkling Blend,84
Aquitaine,2014,Rosé,84
Aquitaine,2014,Bordeaux-style Red Blend,84
Aquitaine,2014,Bordeaux-style Red Blend,84
Aquitaine,2014,Rosé,84
Aquitaine,2014,Rosé,84
California,2014,Riesling,84
Aquitaine,2014,Bordeaux-style Red Blend,84
California,2013,Merlot,84
California,2012,Merlot,84
Washington,2012,Viognier,84
Washington,2012,Merlot,84
California,2013,Chardonnay,83
Aquitaine,2014,Bordeaux-style Red Blend,83
Aquitaine,2014,Rosé,83
Washington,2015,Pinot Gris,88
New York,2014,Merlot,88
Veneto,2011,Red Blend,88
Veneto,2013,Red Blend,88
California,2013,Cabernet Sauvignon,88
Washington,2013,Cabernet Sauvignon,88
California,2014,Red Blend,88
New York,2013,Riesling,88
California,2013,Cabernet Sauvignon,88
California,2013,Sangiovese,88
California,2013,Red Blend,88
Washington,2015,Rosé,88
California,2013,Syrah,88
California,2012,Red Blend,88
Washington,2015,Pinot Grigio,88
Burgundy,2013,Chardonnay,85
California,2013,Chardonnay,85
Burgundy,2013,Chardonnay,84
Burgundy,2013,Chardonnay,84
California,2012,Pinot Noir,84
Oregon,2014,Muscat,84
Burgundy,2013,Chardonnay,84
California,2012,Zinfandel,84
Burgundy,2013,Chardonnay,84
Burgundy,2013,Chardonnay,84
California,2012,Pinot Noir,84
Oregon,2013,Syrah,89
California,2014,Pinot Noir,89
California,2014,Chardonnay,89
California,2012,Red Blend,89
California,2015,Sauvignon Blanc,89
Oregon,2013,Pinot Noir,89
California,2013,Barbera,89
Oregon,2012,Cabernet Sauvignon,89
California,2012,Cabernet Sauvignon,89
Sicilia,2015,Grillo,89
Oregon,2013,Chardonnay,89
Sicilia,2015,Grillo,89
Burgundy,2013,Pinot Noir,89
Aquitaine,2015,Rosé,89
Alsace,2013,Sylvaner,89
Alsace,2013,Pinot Noir,89
Alsace,2012,Pinot Noir,89
California,2013,Barbera,89
Sicilia,2010,Cannonau,89
Sicilia,2015,Carricante,89
Aquitaine,2008,Bordeaux-style Red Blend,94
Piedmont,2005,Nebbiolo,94
Washington,2007,Syrah,94
California,2007,Zinfandel,94
California,2003,Sparkling Blend,94
California,2006,Cabernet Sauvignon,94
California,2005,Cabernet Sauvignon,94
California,2006,Bordeaux-style Red Blend,94
Aquitaine,2008,Bordeaux-style Red Blend,94
California,2005,Bordeaux-style Red Blend,94
California,2006,Bordeaux-style Red Blend,94
Aquitaine,2006,Bordeaux-style White Blend,94
Aquitaine,2006,Bordeaux-style Red Blend,94
Piedmont,2005,Nebbiolo,94
California,2007,Pinot Noir,94
California,2007,Pinot Noir,94
California,2001,Sparkling Blend,94
California,2007,Pinot Noir,94
California,2007,Chardonnay,94
Aquitaine,2008,Bordeaux-style Red Blend,93
Piedmont,2005,Nebbiolo,93
California,2004,Cabernet Sauvignon,93
Washington,2012,Merlot,91
California,2012,Chardonnay,91
Tuscany,2010,Red Blend,91
California,2012,Pinot Noir,91
California,2013,Pinot Noir,91
Washington,2012,Cabernet Sauvignon,91
Tuscany,2011,Sangiovese,91
Washington,2012,Cabernet Sauvignon,91
California,2014,Sauvignon Blanc,91
California,2012,Chardonnay,91
Washington,2011,Cabernet Sauvignon,91
Burgundy,2012,Chardonnay,91
California,2013,Chardonnay,91
California,2013,Pinot Noir,90
California,2012,Viognier,90
Burgundy,2012,Chardonnay,90
New York,2014,Rosé,90
Washington,2012,Merlot,90
Tuscany,2011,Red Blend,90
California,2012,Pinot Noir,90
California,2012,Rhône-style Red Blend,90
Tuscany,2009,Cabernet Sauvignon,90
New York,2010,Cabernet Franc-Merlot,90
New York,2012,Riesling,90
California,2014,Zinfandel,90
Washington,2007,Red Blend,86
California,2008,Pinot Noir,86
Piedmont,2007,Barbera,86
Piedmont,2009,Dolcetto,86
California,2007,Red Blend,86
California,2007,Cabernet Sauvignon,86
Piedmont,2007,Barbera,86
Piedmont,2008,Barbera,86
Piedmont,2006,Barbera,86
Piedmont,2007,Barbera,86
Washington,2008,Sangiovese,86
Aquitaine,2009,Bordeaux-style Red Blend,92
Aquitaine,2010,Bordeaux-style Red Blend,92
Aquitaine,2009,Bordeaux-style Red Blend,92
California,2010,Pinot Noir,92
Washington,2010,Malbec,92
California,2009,Chardonnay,92
Washington,2010,Zinfandel,92
California,2010,Pinot Noir,92
California,2009,Cabernet Sauvignon,92
California,2010,Zinfandel,92
Aquitaine,2010,Bordeaux-style Red Blend,92
Aquitaine,2009,Bordeaux-style Red Blend,92
Aquitaine,2010,Bordeaux-style Red Blend,92
Aquitaine,2010,Bordeaux-style Red Blend,92
California,2008,Cabernet Sauvignon,92
California,2010,Rhône-style White Blend,92
California,2009,Cabernet Sauvignon,92
Washington,2014,Syrah,89
California,2016,Syrah,89
California,2013,Rhône-style Red Blend,89
California,2015,Chardonnay,89
Washington,2013,Merlot,89
Burgundy,2015,Chardonnay,89
Burgundy,2015,Chardonnay,89
California,2014,Pinot Noir,89
Burgundy,2014,Chardonnay,89
California,2014,Petite Sirah,89
Washington,2014,Syrah,89
Washington,2014,Cabernet Sauvignon,89
Washington,2015,Pinot Noir,89
Oregon,2014,Mourvèdre,89
Oregon,2015,Pinot Gris,89
Oregon,2014,Pinot Noir,89
California,2015,Sauvignon Blanc,89
California,2014,Pinot Noir,89
Washington,2009,Orange Muscat,82
California,2009,Red Blend,82
California,2009,Meritage,82
California,2010,Chardonnay,82
California,2010,Chardonnay,82
California,2010,Pinot Grigio,82
California,2009,Chardonnay,82
California,2009,Cabernet Sauvignon,81
California,2009,Cabernet Sauvignon,81
California,2007,Petite Sirah,81
Alsace,2016,Gewürztraminer,90
California,2013,Malbec,90
Oregon,2014,Chardonnay,90
Alsace,2015,Gewürztraminer,90
Oregon,2015,Grüner Veltliner,90
Alsace,2015,Pinot Gris,90
Oregon,2011,Sparkling Blend,90
Washington,2014,Bordeaux-style Red Blend,90
Oregon,2015,Pinot Noir,90
Oregon,2016,Chardonnay,90
Washington,2014,Bordeaux-style Red Blend,90
California,2013,Red Blend,90
California,2015,Chardonnay,90
Oregon,2015,Chardonnay,90
California,2015,Chardonnay,90
Alsace,2016,Riesling,90
Alsace,2015,Pinot Gris,90
Alsace,2016,Gewürztraminer,90
California,2010,Cabernet Sauvignon,91
California,2012,Bordeaux-style Red Blend,91
California,2014,Sauvignon Blanc,91
California,2014,Pinot Noir,91
California,2013,Rhône-style Red Blend,91
California,2013,Pinot Noir,91
Washington,2015,Viognier,91
California,2013,Cabernet Sauvignon,91
California,2015,Zinfandel,91
California,2014,Cabernet Sauvignon,91
New York,2012,Cabernet Sauvignon,91
California,2012,Red Blend,91
California,2013,Cabernet Sauvignon,91
Tuscany,2012,Sangiovese,91
California,2013,Cabernet Sauvignon,91
Sicilia,2008,Red Blend,87
New York,2007,Bordeaux-style Red Blend,87
New York,2008,Riesling,87
California,2005,Bordeaux-style Red Blend,87
California,2007,Zinfandel,87
Washington,2007,Syrah,87
California,2007,G-S-M,87
New York,2004,Merlot,87
California,2008,Pinot Noir,87
New York,2008,Riesling,87
California,2008,Chardonnay,87
California,2007,Pinot Noir,87
Sicilia,2007,Nero d'Avola,87
Burgundy,2007,Chardonnay,87
Washington,2013,Mourvèdre,88
Washington,2014,Bordeaux-style Red Blend,88
Alsace,2015,Pinot Gris,88
Alsace,2014,Pinot Gris,88
Alsace,2014,Riesling,88
Washington,2013,Cabernet Sauvignon,88
Washington,2015,Rosé,88
California,2015,White Blend,88
Washington,2013,Bordeaux-style Red Blend,88
New York,2013,Cabernet Sauvignon,88
Washington,2013,Syrah,88
Alsace,2015,Riesling,88
California,2015,Rosé,88
Washington,2015,Sangiovese,88
New York,2015,Chardonnay,88
California,2013,Chardonnay,90
California,2013,Sauvignon Blanc,90
Sicilia,2012,White Blend,90
Alsace,2009,Riesling,90
Sicilia,2011,Carricante,90
Sicilia,2012,White Blend,90
Alsace,2012,Pinot Gris,89
California,2013,Pinot Noir,89
Alsace,2012,Gewürztraminer,89
California,2010,Cabernet Sauvignon,89
Oregon,2012,Pinot Noir,89
California,2013,Chardonnay,89
California,2012,Zinfandel,89
Sicilia,2013,Red Blend,89
Sicilia,2013,White Blend,89
California,2013,Pinot Noir,89
California,2012,Pinot Noir,89
Sicilia,2010,Nerello Mascalese,89
Sicilia,2012,Red Blend,89
Sicilia,2011,Red Blend,89
California,2013,Grenache Blanc,89
California,2013,Petite Sirah,87
California,2013,Red Blend,87
New York,2015,Riesling,87
Washington,2014,Syrah,87
New York,2014,Chardonnay,87
Veneto,2014,Garganega,87
New York,2014,Chardonnay,87
Veneto,2016,Garganega,87
New York,2014,Merlot-Cabernet Franc,87
Washington,2014,Malbec,86
California,2013,Cabernet Sauvignon,86
California,2014,Cabernet Sauvignon,86
Washington,2007,Cabernet Sauvignon,87
California,2007,Tempranillo,87
California,2008,Merlot,87
California,2007,Syrah,87
Sicilia,2006,Zibibbo,87
Washington,2008,Red Blend,87
California,2009,Chardonnay,87
Washington,2009,Rosé,87
California,2008,Pinot Noir,87
Veneto,2007,"Corvina, Rondinella, Molinara",87
California,2006,Meritage,87
Veneto,2006,Sparkling Blend,86
Tuscany,2004,Moscadello,86
Washington,2008,Red Blend,86
California,2007,Syrah,86
California,2008,Pinot Noir,86
Oregon,2014,Pinot Noir,91
California,2013,Petite Sirah,91
California,2013,Cabernet Sauvignon,91
California,2014,Syrah,91
California,2014,Pinot Noir,91
California,2013,Cabernet Sauvignon,91
Oregon,2014,Pinot Noir,91
California,2013,Cabernet Franc,91
California,2015,Rhône-style White Blend,91
Washington,2013,Cabernet Sauvignon,91
Washington,2015,Red Blend,91
California,2014,Pinot Noir,91
California,2013,Cabernet Sauvignon,91
New York,2015,Sparkling Blend,90
Burgundy,2010,Chardonnay,88
California,2009,Pinot Noir,88
California,2011,Sauvignon Blanc,88
Washington,2010,Cabernet Sauvignon,88
Burgundy,2010,Chardonnay,88
New York,2010,Rkatsiteli,88
Veneto,2008,Merlot,88
Veneto,2008,"Corvina, Rondinella, Molinara",88
Veneto,2008,"Corvina, Rondinella, Molinara",88
Burgundy,2009,Chardonnay,88
Burgundy,2009,Chardonnay,88
Washington,2011,Riesling,88
Veneto,2006,"Corvina, Rondinella, Molinara",88
New York,2010,Gewürztraminer,88
Veneto,2009,Red Blend,88
California,2009,Petite Sirah,88
Burgundy,2010,Chardonnay,88
Burgundy,2010,Pinot Noir,88
California,2008,Red Blend,88
Washington,2008,Bordeaux-style Red Blend,88
California,2010,Pinot Noir,88
Veneto,2010,"Corvina, Rondinella, Molinara",88
Veneto,2009,"Corvina, Rondinella, Molinara",88
New York,2011,Riesling,88
Washington,2009,Red Blend,88
California,2009,Rhône-style Red Blend,88
California,2011,Gewürztraminer,88
Burgundy,2010,Pinot Noir,88
California,2011,White Blend,88
Oregon,2016,Pinot Gris,91
California,2013,Barbera,91
Oregon,2015,Pinot Noir,91
California,2014,Barbera,91
California,2012,Red Blend,91
California,2015,Syrah,91
California,2014,Merlot,91
California,2014,Barbera,91
California,2014,Rhône-style Red Blend,91
Oregon,2015,Pinot Noir,91
California,2015,Chardonnay,91
California,2014,Syrah,91
California,2014,Mourvèdre,91
California,2008,Red Blend,88
California,2010,Pinot Noir,88
California,2010,Sauvignon Blanc,88
California,2009,Chardonnay,88
Oregon,2007,Tempranillo,88
California,2009,Cabernet Sauvignon,88
California,2009,Pinot Noir,89
California,2006,Sparkling Blend,89
Washington,2008,Syrah,89
California,2009,Pinot Noir,89
California,2007,Merlot,89
California,2007,Cabernet Franc,89
California,2008,Cabernet Sauvignon,89
Washington,2008,Red Blend,89
California,2008,Red Blend,89
Washington,2010,Gewürztraminer,89
California,2009,Red Blend,89
California,2008,Red Blend,89
Sicilia,2006,Moscato,89
California,2009,Pinot Noir,89
California,2009,Aglianico,89
California,2006,Sparkling Blend,89
New York,2010,Cabernet Franc,84
Burgundy,2012,Chardonnay,84
California,2012,Moscato,84
California,2012,Pinot Grigio,84
California,2011,Chardonnay,84
Veneto,2012,Pinot Grigio,84
California,2011,Chardonnay,84
Veneto,2011,Chardonnay,84
Piedmont,2011,Moscato,84
Veneto,2011,Pinot Grigio,84
California,2010,Chardonnay,83
California,2005,Pinot Noir,87
California,2006,Cabernet Sauvignon,87
California,2005,Bordeaux-style Red Blend,87
Veneto,2005,"Corvina, Rondinella, Molinara",87
Washington,2005,Cabernet Sauvignon,87
Washington,2005,Tempranillo,87
California,2006,Chardonnay,87
Washington,2005,Cabernet Sauvignon,87
Washington,2006,Chardonnay,87
California,2006,Pinot Noir,87
California,2006,Pinot Noir,87
California,2005,Merlot,87
California,2006,Pinot Noir,87
California,2006,Zinfandel,87
California,2006,Pinot Noir,87
California,2004,Syrah,87
Washington,2007,Gewürztraminer,87
California,2005,Cabernet Sauvignon-Syrah,87
California,2012,Cabernet Sauvignon,93
California,2015,Chardonnay,93
Burgundy,2014,Chardonnay,93
Burgundy,2014,Chardonnay,93
California,2014,Chardonnay,93
California,2013,G-S-M,93
California,2013,Cabernet Sauvignon,93
California,2013,Cabernet Sauvignon,93
Champagne-Ardenne,2005,Champagne Blend,93
California,2014,Pinot Noir,93
Tuscany,2012,Red Blend,93
Sicilia,2013,Zibibbo,93
Washington,2014,Cabernet Sauvignon,93
California,2014,Pinot Noir,93
Washington,2014,Cabernet Sauvignon,93
California,2014,Chardonnay,93
California,2015,Albariño,93
California,2014,Pinot Noir,93
California,2013,Cabernet Sauvignon,93
California,2015,Pinot Noir,93
Tuscany,2013,Vernaccia,93
Piedmont,2008,Barbera,87
Piedmont,2010,Ruché,87
Piedmont,2006,Nebbiolo,87
Piedmont,2008,Nebbiolo,87
Piedmont,2009,Nebbiolo,87
California,2009,Pinotage,87
Washington,2009,Merlot,87
California,2010,Zinfandel,87
California,2009,Chardonnay,87
California,2010,Chardonnay,87
California,2010,Barbera,87
California,2011,Rosé,87
California,2011,Sauvignon Blanc,87
California,2010,Pinot Noir,87
Washington,2009,Cabernet Sauvignon,87
California,2010,Pinot Noir,87
Piedmont,2009,Nebbiolo,87
Piedmont,2007,Barbera,87
Piedmont,2009,Red Blend,87
Aquitaine,2006,Bordeaux-style Red Blend,87
California,2009,Chardonnay,87
Tuscany,2011,Red Blend,95
California,2010,Pinot Noir,95
California,2013,Syrah,95
California,2007,Sparkling Blend,95
California,2012,Cabernet Sauvignon,95
Tuscany,2010,Sangiovese,95
Tuscany,2007,Sangiovese,95
California,2010,Pinot Noir,95
California,2013,Pinot Noir,95
California,2012,Cabernet Sauvignon,95
California,2013,Pinot Noir,95
California,2013,Pinot Noir,94
California,2013,Cabernet Sauvignon,94
California,2013,Pinot Noir,94
California,2013,Pinot Noir,94
Tuscany,2012,Red Blend,94
California,2013,Pinot Noir,94
California,2013,Pinot Noir,94
Oregon,2013,Riesling,94
Veneto,2010,"Corvina, Rondinella, Molinara",87
California,2009,Cabernet Sauvignon,87
California,2009,Cabernet Sauvignon,87
Burgundy,2010,Chardonnay,87
Veneto,2009,"Corvina, Rondinella, Molinara",87
New York,2011,Riesling,87
New York,2009,Pinot Noir,87
California,2011,Chardonnay,87
Veneto,2008,"Corvina, Rondinella, Molinara",87
California,2010,Syrah,87
Veneto,2009,"Corvina, Rondinella, Molinara",87
Washington,2009,Bordeaux-style Red Blend,87
Veneto,2009,"Corvina, Rondinella, Molinara",87
Veneto,2008,"Corvina, Rondinella, Molinara",87
California,2010,Red Blend,87
Veneto,2010,"Corvina, Rondinella, Molinara",87
Veneto,2011,Garganega,87
California,2011,Riesling,87
Burgundy,2010,Pinot Noir,87
New York,2010,Pinot Gris,87
California,2007,Cabernet Sauvignon,86
Burgundy,2010,Chardonnay,86
Piedmont,2012,Nebbiolo,93
Champagne-Ardenne,2006,Champagne Blend,93
California,2013,Pinot Noir,93
Alsace,2010,Sparkling Blend,93
Oregon,2014,Chardonnay,93
California,2014,Pinot Noir,93
Oregon,2014,Pinot Noir,93
Champagne-Ardenne,2008,Champagne Blend,93
Champagne-Ardenne,2005,Chardonnay,93
Oregon,2014,Pinot Noir,93
California,2013,Pinot Noir,93
Champagne-Ardenne,2009,Chardonnay,93
California,2013,Pinot Noir,93
California,2013,Syrah,93
California,2013,Cabernet Sauvignon,93
California,2014,Red Blend,93
Oregon,2014,Pinot Noir,92
California,2014,Pinot Noir,92
California,2014,Zinfandel,90
New York,2012,Cabernet Franc,90
California,2013,Pinot Noir,90
California,2015,Sauvignon Blanc,90
California,2014,Pinot Noir,90
California,2014,Chardonnay,90
California,2014,Chardonnay,90
California,2014,Pinot Noir,90
California,2013,Pinot Noir,90
California,2014,Pinot Noir,90
California,2014,Chardonnay,90
California,2014,Carignane,90
California,2015,Viognier,90
California,2014,Pinot Noir,90
Washington,2014,Cabernet Sauvignon,90
California,2012,Bordeaux-style Red Blend,90
Tuscany,2013,Syrah,90
Tuscany,2013,Sangiovese,90
California,2014,Zinfandel,90
Veneto,2010,Red Blend,89
Burgundy,2011,Pinot Noir,89
Burgundy,2012,Chardonnay,89
Veneto,2009,Red Blend,89
California,2012,Pinot Noir,89
Burgundy,2012,Chardonnay,89
