points,price,province,variety,winery,Precipitation,Temperature
90,28.0,California,Cabernet Sauvignon,Geyser Peak,489.67,13.43
86,48.0,California,Cabernet Sauvignon,Ideology,489.67,13.43
88,38.0,California,Cabernet Sauvignon,City Winery of New York,489.67,13.43
93,28.0,California,RhÃ´ne-style Red Blend,Chesebro,489.67,13.43
92,34.0,California,Chardonnay,Failla,489.67,13.43
86,13.0,California,Sangiovese,Girasole,489.67,13.43
93,28.0,California,Petite Sirah,Gustafson Family,489.67,13.43
86,60.0,California,Meritage,Rodney Strong,489.67,13.43
86,55.0,California,Pinot Noir,La Montagne,489.67,13.43
86,20.0,California,Cabernet Sauvignon,Aquinas,489.67,13.43
84,42.0,California,Syrah,Hooker,489.67,13.43
84,22.0,California,Zinfandel,Alexander Valley Vineyards,489.67,13.43
88,20.0,California,Chardonnay,Balletto,489.67,13.43
88,30.0,California,Chardonnay,Davis Bynum,489.67,13.43
87,24.0,California,Zinfandel,Rancho Zabaco,489.67,13.43
87,20.0,California,Chardonnay,Talbott,489.67,13.43
87,24.0,California,Chardonnay,Balletto,489.67,13.43
89,20.0,California,Cabernet Sauvignon,St. Francis,489.67,13.43
86,24.0,California,Sauvignon Blanc,Vermeil,489.67,13.43
86,20.0,California,Cabernet Sauvignon,Bota Box,489.67,13.43
89,45.0,California,Pinot Noir,Center of Effort,489.67,13.43
85,55.0,California,Red Blend,Keating,489.67,13.43
84,35.0,California,Pinot Noir,Brooklyn Winery,489.67,13.43
84,23.0,California,Red Blend,Naggiar,489.67,13.43
85,32.0,California,Zinfandel,McCay Cellars,489.67,13.43
88,42.0,California,Red Blend,Hunnicutt,489.67,13.43
87,45.0,California,Red Blend,Cinnabar,489.67,13.43
87,65.0,California,Petit Verdot,Cinnabar,489.67,13.43
94,70.0,California,Pinot Noir,Lynmar,489.67,13.43
94,70.0,California,Pinot Noir,Lynmar,489.67,13.43
94,47.0,California,Chardonnay,Paul Hobbs,489.67,13.43
88,36.0,California,Pinot Noir,Sarah's Vineyard,489.67,13.43
88,30.0,California,Red Blend,Galante,489.67,13.43
85,26.0,California,Pinot Noir,Jacella,489.67,13.43
85,14.0,California,Meritage,Kirkland Signature,489.67,13.43
85,15.0,California,Zinfandel,Zin 91,489.67,13.43
85,40.0,California,Cabernet Sauvignon,Cimarone,489.67,13.43
85,15.0,California,Cabernet Sauvignon,Edna Valley Vineyard,489.67,13.43
89,45.0,California,Cabernet Sauvignon,Jamieson Ranch,489.67,13.43
88,26.0,California,MourvÃ¨dre,Longevity,489.67,13.43
89,52.0,California,Pinot Noir,Siduri,489.67,13.43
88,32.0,California,Pinot Noir,Siduri,489.67,13.43
87,40.0,California,Cabernet Sauvignon,Atalon,489.67,13.43
88,26.0,California,Petite Sirah,McCay Cellars,489.67,13.43
87,28.0,California,Cabernet Sauvignon,Roth,489.67,13.43
85,35.0,California,Chardonnay,Fess Parker,489.67,13.43
84,30.0,California,Chardonnay,Cru,489.67,13.43
84,12.0,California,Sauvignon Blanc,Leese-Fitch,489.67,13.43
83,13.0,California,Cabernet Sauvignon,Acumen,489.67,13.43
90,65.0,California,Chardonnay,Alpha Omega,489.67,13.43
85,28.0,California,Petite Sirah,Wilson,489.67,13.43
88,40.0,California,Syrah,Terre Rouge,489.67,13.43
88,35.0,California,Syrah,Terre Rouge,489.67,13.43
90,18.0,California,Pinot Noir,Victor Vineyards,489.67,13.43
89,25.0,California,Bordeaux-style Red Blend,Spann Vineyards,489.67,13.43
89,85.0,California,Cabernet Sauvignon,PiÃ±a,489.67,13.43
90,19.0,California,Merlot,McIntyre Vineyards,489.67,13.43
91,24.0,California,Chardonnay,Fleuron,489.67,13.43
91,38.0,California,Pinot Noir,Saracina,489.67,13.43
91,44.0,California,Pinot Noir,Freeman,489.67,13.43
94,30.0,California,Syrah,Terre Rouge,489.67,13.43
94,36.0,California,Zinfandel,Newsome-Harlow,489.67,13.43
94,44.0,California,Pinot Noir,St. Rose,489.67,13.43
94,50.0,California,Pinot Noir,Boekenoogen,489.67,13.43
93,36.0,California,Zinfandel,Newsome-Harlow,489.67,13.43
88,72.0,California,Merlot,Duckhorn,489.67,13.43
88,21.0,California,Chardonnay,Tolosa,489.67,13.43
88,16.0,California,Red Blend,Victor Vineyards,489.67,13.43
88,24.0,California,Zinfandel,Seghesio,489.67,13.43
89,25.0,California,Bordeaux-style Red Blend,Spann Vineyards,489.67,13.43
89,85.0,California,Cabernet Sauvignon,PiÃ±a,489.67,13.43
86,40.0,California,Pinot Noir,Adelaida,489.67,13.43
89,69.0,California,Pinot Noir,Williams Selyem,489.67,13.43
89,40.0,California,Grenache,Scratch,489.67,13.43
89,17.0,California,Merlot,Chelsea Goldschmidt,489.67,13.43
88,70.0,California,Chardonnay,Lynmar,489.67,13.43
87,18.0,California,GewÃ¼rztraminer,Claiborne & Churchill,489.67,13.43
88,39.0,California,Red Blend,Cooper-Garrod,489.67,13.43
90,19.0,California,Zinfandel,Peachy Canyon,489.67,13.43
90,30.0,California,Sauvignon Blanc,Grgich Hills,489.67,13.43
93,48.0,California,Chardonnay,Three Sticks,489.67,13.43
93,42.0,California,Chardonnay,Fort Ross,489.67,13.43
93,38.0,California,Zinfandel,Dry Creek Vineyard,489.67,13.43
89,22.0,California,Petite Sirah,Barra of Mendocino,489.67,13.43
88,59.0,California,Cabernet Sauvignon,Hensteeth,489.67,13.43
92,48.0,California,Pinot Noir,Siduri,489.67,13.43
92,32.0,California,Sauvignon Blanc,Brander,489.67,13.43
91,40.0,California,Chardonnay,Roar,489.67,13.43
91,35.0,California,Pinot Noir,Bruliam,489.67,13.43
86,48.0,California,Red Blend,Paraduxx,489.67,13.43
88,64.0,California,Merlot,Keenan,489.67,13.43
87,24.0,California,Chardonnay,Lawer,489.67,13.43
87,13.0,California,Red Blend,Martin Ray,489.67,13.43
86,35.0,California,Zinfandel,Hendry,489.67,13.43
89,56.0,California,Syrah,Zaca Mesa,489.67,13.43
86,38.0,California,Pinot Noir,Woodenhead,489.67,13.43
88,21.0,California,Merlot,Robert Mondavi,489.67,13.43
92,55.0,California,Pinot Noir,MasÃºt,489.67,13.43
85,13.0,California,Chardonnay,Pedroncelli,489.67,13.43
83,38.0,California,Syrah,Muscardini,489.67,13.43
83,30.0,California,Cabernet Sauvignon,Charles Krug,489.67,13.43
87,45.0,California,Pinot Noir,August West,489.67,13.43
87,60.0,California,Pinot Noir,Babcock,489.67,13.43
87,60.0,California,Pinot Noir,Babcock,489.67,13.43
92,46.0,California,Pinot Noir,Twomey,489.67,13.43
92,60.0,California,Pinot Noir,Foxen,489.67,13.43
92,60.0,California,Pinot Noir,Foxen,489.67,13.43
92,98.0,California,Cabernet Sauvignon,En Garde,489.67,13.43
92,40.0,California,Sauvignon Blanc,Rochioli,489.67,13.43
91,28.0,California,Red Blend,Geyser Peak,489.67,13.43
89,42.0,California,Bordeaux-style Red Blend,Longoria,489.67,13.43
84,35.0,California,Zinfandel,Bruliam,489.67,13.43
84,36.0,California,Zinfandel,Wilson,489.67,13.43
81,12.0,California,Petite Sirah,Cooper Station,489.67,13.43
88,40.0,California,Pinot Noir,Davis Bynum,489.67,13.43
88,12.0,California,Merlot,Marilyn,489.67,13.43
88,30.0,California,Chardonnay,La Crema,489.67,13.43
88,50.0,California,Chardonnay,Lynmar,489.67,13.43
88,33.0,California,Merlot,Roche,489.67,13.43
88,25.0,California,Riesling,Scratch,489.67,13.43
92,25.0,California,Merlot,San Simeon,489.67,13.43
92,32.0,California,Cabernet Franc,Sol Rouge,489.67,13.43
89,20.0,California,Pinot Gris,Navarro,489.67,13.43
89,19.0,California,Riesling,Navarro,489.67,13.43
86,40.0,California,Pinot Noir,Adelaida,489.67,13.43
86,38.0,California,Chardonnay,Herzog,489.67,13.43
86,14.0,California,Chardonnay,J. Lohr,489.67,13.43
94,88.0,California,Pinot Noir,Fiddlehead,489.67,13.43
88,32.0,California,RhÃ´ne-style Red Blend,Archium,489.67,13.43
88,28.0,California,Chardonnay,HKG,489.67,13.43
91,36.0,California,Merlot,Occasio,489.67,13.43
87,13.0,California,Chardonnay,Lyeth,489.67,13.43
91,38.0,California,Syrah,Muscardini,489.67,13.43
91,24.0,California,RhÃ´ne-style White Blend,Derby,489.67,13.43
91,35.0,California,Cabernet Sauvignon,Le Vigne,489.67,13.43
88,30.0,California,Pinot Noir,Reata,489.67,13.43
88,18.0,California,Zinfandel,St. Amant,489.67,13.43
88,40.0,California,Chardonnay,De Loach,489.67,13.43
88,17.0,California,Merlot,Ancient Peaks,489.67,13.43
88,60.0,California,Pinot Noir,Walt,489.67,13.43
88,26.0,California,Petite Sirah,Hovey,489.67,13.43
91,45.0,California,Pinot Noir,Davis Family,489.67,13.43
90,29.0,California,Petit Verdot,Tower 15,489.67,13.43
90,30.0,California,Chardonnay,JCB,489.67,13.43
88,32.0,California,Zinfandel,Kokomo,489.67,13.43
88,40.0,California,Tempranillo,Las Positas,489.67,13.43
89,42.0,California,Meritage,DeLorimier,489.67,13.43
91,42.0,California,Zinfandel,Rosenblum,489.67,13.43
91,48.0,California,Cabernet Sauvignon,Smith-Madrone,489.67,13.43
82,35.0,California,Merlot,Michel-Schlumberger,489.67,13.43
91,60.0,California,Pinot Noir,Robert Mondavi,489.67,13.43
91,47.0,California,Pinot Noir,De Tierra,489.67,13.43
91,65.0,California,Pinot Noir,Guarachi Family,489.67,13.43
89,38.0,California,Red Blend,Silver Horse,489.67,13.43
89,70.0,California,Pinot Noir,Gary Farrell,489.67,13.43
89,60.0,California,Pinot Noir,Three Sticks,489.67,13.43
88,22.0,California,Sauvignon Blanc,Kunde,489.67,13.43
88,25.0,California,Pinot Noir,Martin Ray,489.67,13.43
89,52.0,California,Bordeaux-style Red Blend,Midnight,489.67,13.43
82,15.0,California,Chardonnay,Spellbound,489.67,13.43
82,22.0,California,Chardonnay,Jacella,489.67,13.43
82,15.0,California,Red Blend,Bridlewood,489.67,13.43
82,25.0,California,Chardonnay,Truett Hurst,489.67,13.43
94,70.0,California,Chardonnay,Hartford Court,489.67,13.43
94,75.0,California,Pinot Noir,Williams Selyem,489.67,13.43
92,24.0,California,Pinot Gris,Chamisal Vineyards,489.67,13.43
92,25.0,California,Pinot Blanc,Dutton-Goldfield,489.67,13.43
87,15.0,California,Pinot Gris,J Vineyards & Winery,489.67,13.43
92,44.0,California,Pinot Noir,Couloir,489.67,13.43
92,55.0,California,Pinot Noir,Gary Farrell,489.67,13.43
92,35.0,California,Chardonnay,Landmark,489.67,13.43
91,30.0,California,Zinfandel,Four Sisters Ranch,489.67,13.43
86,29.0,California,RhÃ´ne-style White Blend,Orfila,489.67,13.43
86,22.0,California,Pinot Noir,Siduri,489.67,13.43
86,14.0,California,Pinot Grigio,Ramspeck,489.67,13.43
86,18.0,California,Sauvignon Blanc,Tin Barn,489.67,13.43
86,25.0,California,Cabernet Sauvignon,Donati,489.67,13.43
86,22.0,California,Bordeaux-style Red Blend,Donati,489.67,13.43
85,20.0,California,Merlot,Rancho Sisquoc,489.67,13.43
85,25.0,California,Syrah,Rancho Sisquoc,489.67,13.43
87,38.0,California,Chardonnay,Witching Stick,489.67,13.43
87,23.0,California,Cabernet Sauvignon,Beaulieu Vineyard,489.67,13.43
85,25.0,California,Chardonnay,Evening Land,489.67,13.43
85,25.0,California,Cabernet Sauvignon,Oberon,489.67,13.43
85,28.0,California,Pinot Noir,Riverbench,489.67,13.43
85,19.0,California,Chardonnay,Black Stallion,489.67,13.43
85,11.0,California,Pinot Noir,Castle Rock,489.67,13.43
85,13.0,California,Cabernet Sauvignon,Pennywise,489.67,13.43
87,15.0,California,Pinot Blanc,Saint Gregory,489.67,13.43
88,38.0,California,Cabernet Sauvignon,Clos du Val,489.67,13.43
88,80.0,California,Cabernet Sauvignon,Bacio Divino,489.67,13.43
88,29.0,California,Chardonnay,Cooper-Garrod,489.67,13.43
88,27.0,California,RhÃ´ne-style Red Blend,San Antonio,489.67,13.43
86,15.0,California,Chardonnay,B.R. Cohn,489.67,13.43
87,35.0,California,Chardonnay,VML,489.67,13.43
87,48.0,California,Pinot Noir,Kokomo,489.67,13.43
94,60.0,California,Syrah,Whetstone,489.67,13.43
93,52.0,California,Bordeaux-style Red Blend,Jada Vineyard & Winery,489.67,13.43
92,49.0,California,Bordeaux-style Red Blend,Black Ridge,489.67,13.43
84,15.0,California,Chardonnay,Main & Geary,489.67,13.43
91,48.0,California,Pinot Noir,Longoria,489.67,13.43
91,24.0,California,Cabernet Franc,Easton,489.67,13.43
91,44.0,California,Pinot Noir,Joseph Jewell,489.67,13.43
91,30.0,California,Chardonnay,Center of Effort,489.67,13.43
87,49.0,California,Syrah,Canihan,489.67,13.43
84,11.0,California,Meritage,Kirkland Signature,489.67,13.43
84,34.0,California,Cabernet Sauvignon,Louis M. Martini,489.67,13.43
93,55.0,California,Syrah,Big Basin,489.67,13.43
92,65.0,California,Syrah,Law,489.67,13.43
92,48.0,California,Syrah,Big Basin,489.67,13.43
87,48.0,California,Pinot Noir,Jeriko,489.67,13.43
87,16.0,California,Sauvignon Blanc,Courtney Benham,489.67,13.43
88,20.0,California,Cabernet Sauvignon,Maddalena,489.67,13.43
87,45.0,California,Chardonnay,B Cellars,489.67,13.43
87,13.0,California,Riesling,Wente,489.67,13.43
87,22.0,California,Sauvignon Blanc,Straight Line,489.67,13.43
87,14.0,California,Cabernet Sauvignon,L de Lyeth,489.67,13.43
90,25.0,California,Chardonnay,MacRostie,489.67,13.43
88,60.0,California,Cabernet Sauvignon,Roberts & Rogers,489.67,13.43
92,50.0,California,Cabernet Sauvignon,Hawk and Horse Vineyards,489.67,13.43
83,12.0,California,Zinfandel,Q,489.67,13.43
82,16.0,California,RosÃ©,Halter Ranch,489.67,13.43
82,20.0,California,Chardonnay,F.J. Serra,489.67,13.43
87,16.0,California,Zinfandel,Plungerhead,489.67,13.43
87,45.0,California,Pinot Noir,Schug,489.67,13.43
87,38.0,California,Bordeaux-style Red Blend,Silver Horse,489.67,13.43
87,22.0,California,Syrah,Morgan,489.67,13.43
87,40.0,California,Chardonnay,Artesa,489.67,13.43
89,65.0,California,Pinot Noir,Thomas Fogarty,489.67,13.43
88,36.0,California,Malbec,Draxton,489.67,13.43
88,30.0,California,Zinfandel,XYZin,489.67,13.43
88,85.0,California,Pinot Noir,Hirsch,489.67,13.43
89,36.0,California,Pinot Noir,Jack Creek,489.67,13.43
89,45.0,California,Pinot Noir,Calera,489.67,13.43
86,10.0,California,Red Blend,Cline,489.67,13.43
86,28.0,California,Cabernet Sauvignon,Brander,489.67,13.43
86,35.0,California,Pinot Noir,Manzoni,489.67,13.43
91,68.0,California,RhÃ´ne-style Red Blend,Stolpman,489.67,13.43
89,14.0,California,Sauvignon Blanc,Gainey,489.67,13.43
89,25.0,California,GewÃ¼rztraminer,Clif Family,489.67,13.43
86,50.0,California,Cabernet Sauvignon,Hestan,489.67,13.43
90,50.0,California,Pinot Noir,Lucienne,489.67,13.43
90,46.0,California,Petite Sirah,Proulx,489.67,13.43
87,25.0,California,Viognier,Ampelos,489.67,13.43
86,20.0,California,Zinfandel,Maddalena,489.67,13.43
86,28.0,California,Cabernet Sauvignon,Brander,489.67,13.43
88,85.0,California,Petit Verdot,Turiya,489.67,13.43
90,24.0,California,Zinfandel,Easton,489.67,13.43
90,32.0,California,Zinfandel,Easton,489.67,13.43
90,22.0,California,Syrah,Fields Family,489.67,13.43
90,14.0,California,Chardonnay,Fossil Point,489.67,13.43
90,24.0,California,RhÃ´ne-style White Blend,Anaba,489.67,13.43
84,12.0,California,Sauvignon Blanc,Cable Car,489.67,13.43
88,45.0,California,Cabernet Franc,Lexington,489.67,13.43
88,45.0,California,Cabernet Sauvignon,Oakville Winery,489.67,13.43
85,24.0,California,RhÃ´ne-style White Blend,R2,489.67,13.43
85,40.0,California,Bordeaux-style Red Blend,St. Francis,489.67,13.43
85,75.0,California,Cabernet Sauvignon,Medlock Ames,489.67,13.43
84,55.0,California,Cabernet Sauvignon,Rutherford Grove,489.67,13.43
84,35.0,California,Red Blend,Rutherford Hill,489.67,13.43
90,20.0,California,Sauvignon Blanc,Horse & Plow,489.67,13.43
89,45.0,California,Pinot Noir,Cebada,489.67,13.43
89,45.0,California,Sangiovese,Feliz Noche,489.67,13.43
85,11.0,California,Cabernet Sauvignon,Crushed,489.67,13.43
91,45.0,California,Syrah,Lucia,489.67,13.43
91,35.0,California,Chardonnay,Lynmar,489.67,13.43
91,38.0,California,Pinot Noir,Balletto,489.67,13.43
91,28.0,California,Chardonnay,Breggo,489.67,13.43
92,60.0,California,Syrah,Tolosa,489.67,13.43
90,27.0,California,Chardonnay,Iron Horse,489.67,13.43
90,42.0,California,Pinot Noir,Maldonado,489.67,13.43
90,38.0,California,Chardonnay,Jax,489.67,13.43
90,32.0,California,Chardonnay,Trefethen,489.67,13.43
93,55.0,California,Chardonnay,Sanford,489.67,13.43
85,15.0,California,Red Blend,Murphy-Goode,489.67,13.43
85,25.0,California,Syrah,Rusack,489.67,13.43
89,70.0,California,Pinot Noir,Gary Farrell,489.67,13.43
84,45.0,California,Cabernet Sauvignon,Ehret,489.67,13.43
86,36.0,California,Syrah,Rusack,489.67,13.43
88,22.0,California,Sauvignon Blanc,Bell,489.67,13.43
88,20.0,California,Moscato,Robert Mondavi,489.67,13.43
88,30.0,California,Sauvignon Blanc,Matanzas Creek,489.67,13.43
88,17.0,California,RosÃ©,Miraflores,489.67,13.43
86,38.0,California,Zinfandel,Haywood,489.67,13.43
92,55.0,California,Zinfandel,Hartford Court,489.67,13.43
92,50.0,California,Pinot Noir,Lutum,489.67,13.43
92,40.0,California,Syrah,Babcock,489.67,13.43
92,42.0,California,Zinfandel,V. Sattui,489.67,13.43
92,54.0,California,Syrah,Venge,489.67,13.43
89,22.0,California,Merlot,Martin Ray,489.67,13.43
89,38.0,California,Chardonnay,Patz & Hall,489.67,13.43
93,35.0,California,Cabernet Sauvignon,Domaine Eden,489.67,13.43
93,32.0,California,Cabernet Sauvignon,Sol Rouge,489.67,13.43
85,16.0,California,Sauvignon Blanc,Dry Creek Vineyard,489.67,13.43
85,10.0,California,Sauvignon Blanc,Clos du Lac,489.67,13.43
86,9.0,California,Chardonnay,Lucky Star,489.67,13.43
86,20.0,California,RhÃ´ne-style Red Blend,Tablas Creek,489.67,13.43
86,18.0,California,Petite Sirah,The Crusher,489.67,13.43
90,18.0,California,GewÃ¼rztraminer,Handley,489.67,13.43
90,20.0,California,Chardonnay,Raymond,489.67,13.43
89,16.0,California,Chardonnay,Bishop's Peak,489.67,13.43
86,22.0,California,Chardonnay,Rodney Strong,489.67,13.43
86,25.0,California,Pinot Noir,Storyteller,489.67,13.43
90,56.0,California,Pinot Noir,Roadhouse Winery,489.67,13.43
90,45.0,California,Pinot Noir,Churchill Cellars,489.67,13.43
88,40.0,California,Petite Sirah,Summers,489.67,13.43
88,36.0,California,Malbec,Draxton,489.67,13.43
88,32.0,California,Syrah,Novy,489.67,13.43
85,24.0,California,Pinot Noir,Calera,489.67,13.43
85,40.0,California,Cabernet Sauvignon,Cimarone,489.67,13.43
85,15.0,California,Cabernet Sauvignon,Edna Valley Vineyard,489.67,13.43
85,8.0,California,Cabernet Sauvignon,Kirkland Signature,489.67,13.43
85,14.0,California,Moscato,Kenwood,489.67,13.43
92,43.0,California,Red Blend,Falkner,489.67,13.43
82,12.0,California,Chardonnay,Carmenet,489.67,13.43
82,21.0,California,Pinot Noir,Parkers Estate,489.67,13.43
82,22.0,California,Pinot Noir,Pali,489.67,13.43
91,40.0,California,Chardonnay,Chamisal Vineyards,489.67,13.43
91,50.0,California,Pinot Noir,Davis Family,489.67,13.43
88,25.0,California,Red Blend,Storyteller,489.67,13.43
92,20.0,California,Pinot Gris,Handley,489.67,13.43
92,38.0,California,Pinot Noir,Ryan Cochrane,489.67,13.43
92,55.0,California,Pinot Noir,Armanino Family Cellars,489.67,13.43
90,60.0,California,Pinot Noir,En Garde,489.67,13.43
91,39.0,California,Pinot Noir,Burrell School Vineyards,489.67,13.43
88,60.0,California,Chardonnay,Thomas Fogarty,489.67,13.43
88,24.0,California,Petite Sirah,Macchia,489.67,13.43
88,42.0,California,Cabernet Franc,City Winery of New York,489.67,13.43
89,38.0,California,Pinot Noir,Bailiwick,489.67,13.43
82,19.0,California,Pinot Noir,Michael Pozzan,489.67,13.43
82,29.0,California,Red Blend,River Star,489.67,13.43
91,30.0,California,Zinfandel,Dry Creek Vineyard,489.67,13.43
91,39.0,California,Pinot Noir,Merry Edwards,489.67,13.43
91,65.0,California,Pinot Noir,Patz & Hall,489.67,13.43
91,35.0,California,Syrah,Peju,489.67,13.43
86,70.0,California,Pinot Noir,Tantara,489.67,13.43
86,16.0,California,Chardonnay,Bianchi,489.67,13.43
90,55.0,California,Pinot Noir,MasÃºt,489.67,13.43
90,18.0,California,GewÃ¼rztraminer,Handley,489.67,13.43
90,45.0,California,Pinot Noir,Windsor Oaks,489.67,13.43
89,24.0,California,Chardonnay,R2,489.67,13.43
89,12.0,California,Cabernet Franc,Ironstone,489.67,13.43
91,80.0,California,Cabernet Sauvignon,Monte De Oro,489.67,13.43
88,40.0,California,Pinot Noir,Lucia,489.67,13.43
88,24.0,California,Chardonnay,Talbott,489.67,13.43
88,15.0,California,Chardonnay,Wente,489.67,13.43
88,18.0,California,Sauvignon Blanc,Alta Maria,489.67,13.43
84,10.0,California,Cabernet Sauvignon,Leaping Horse,489.67,13.43
93,100.0,California,Cabernet Sauvignon,Janzen,489.67,13.43
93,35.0,California,Syrah,MacLaren,489.67,13.43
93,35.0,California,Bordeaux-style Red Blend,Brander,489.67,13.43
93,40.0,California,Chardonnay,Lafond,489.67,13.43
92,60.0,California,Syrah,B Cellars,489.67,13.43
92,54.0,California,Pinot Noir,Saintsbury,489.67,13.43
87,30.0,California,Red Blend,Longoria,489.67,13.43
84,18.0,California,Chardonnay,Arrow Creek,489.67,13.43
84,25.0,California,Merlot,Wine Spots,489.67,13.43
84,16.0,California,Pinot Noir,Chime,489.67,13.43
88,55.0,California,Chardonnay,Kalaris,489.67,13.43
91,45.0,California,Nebbiolo,Giornata,489.67,13.43
91,45.0,California,Petite Sirah,Aver Family Vineyards,489.67,13.43
85,34.0,California,Red Blend,JR Wine,489.67,13.43
84,12.0,California,Chardonnay,Morro Bay,489.67,13.43
87,32.0,California,Zinfandel,Summit Lake,489.67,13.43
90,80.0,California,Cabernet Sauvignon,Hall,489.67,13.43
90,60.0,California,Cabernet Sauvignon,Brandlin,489.67,13.43
85,32.0,California,Chardonnay,Hoyt Family Vineyards,489.67,13.43
87,36.0,California,Red Blend,Longevity,489.67,13.43
96,95.0,California,Cabernet Sauvignon,Darioush,489.67,13.43
87,23.0,California,Pinot Noir,Chesebro,489.67,13.43
86,60.0,California,Pinot Noir,Babcock,489.67,13.43
87,18.0,California,Merlot,Wente,489.67,13.43
87,38.0,California,Pinot Noir,Kessler-Haak,489.67,13.43
86,18.0,California,Red Blend,Michael David,489.67,13.43
88,39.0,California,Sauvignon Blanc,Del Dotto,489.67,13.43
88,20.0,California,Merlot,Firestone,489.67,13.43
90,18.0,California,RosÃ©,Balletto,489.67,13.43
88,15.0,California,Chardonnay,Kendall-Jackson,489.67,13.43
94,65.0,California,Pinot Noir,Arcadian,489.67,13.43
86,30.0,California,Chardonnay,Hendry,489.67,13.43
86,34.0,California,Pinot Noir,Last Light,489.67,13.43
85,18.0,California,Cabernet Sauvignon,Artesa,489.67,13.43
85,14.0,California,Pinot Noir,Castle Rock,489.67,13.43
93,35.0,California,Petite Sirah,Ancient Peaks,489.67,13.43
92,30.0,California,Zinfandel,Mesa Del Sol,489.67,13.43
88,22.0,California,Riesling,Morgan,489.67,13.43
92,36.0,California,Zinfandel,Newsome-Harlow,489.67,13.43
92,24.0,California,Zinfandel,Newsome-Harlow,489.67,13.43
92,20.0,California,Syrah,Chacewater,489.67,13.43
92,42.0,California,Pinot Noir,Joseph Jewell,489.67,13.43
92,39.0,California,Pinot Noir,Joseph Jewell,489.67,13.43
86,50.0,California,Cabernet Franc,Kenefick Ranch,489.67,13.43
92,80.0,California,Sparkling Blend,Mumm Napa,489.67,13.43
87,40.0,California,Bordeaux-style Red Blend,Donati,489.67,13.43
90,50.0,California,Meritage,Trinchero,489.67,13.43
91,58.0,California,Red Blend,Lorenzi Estate,489.67,13.43
82,28.0,California,Zinfandel,Haywood,489.67,13.43
82,32.0,California,Zinfandel,Gustafson Family,489.67,13.43
84,12.0,California,Cabernet Sauvignon,Cycles Gladiator,489.67,13.43
84,38.0,California,Zinfandel,Dunning Vineyards,489.67,13.43
88,25.0,California,Viognier,Fess Parker,489.67,13.43
80,30.0,California,Pinot Noir,Peter Cellars,489.67,13.43
92,55.0,California,Syrah,Beckmen,489.67,13.43
88,38.0,California,Chardonnay,Frazier,489.67,13.43
88,26.0,California,Merlot,Vino Vargas,489.67,13.43
88,28.0,California,Chardonnay,Windstream,489.67,13.43
91,39.0,California,Cabernet Sauvignon,Di Arie,489.67,13.43
88,24.0,California,Viognier,Wattle Creek,489.67,13.43
92,43.0,California,Red Blend,Falkner,489.67,13.43
92,40.0,California,Chardonnay,Sanford,489.67,13.43
88,20.0,California,Zinfandel,Mettler Family Vineyards,489.67,13.43
88,20.0,California,Chardonnay,Dry Creek Vineyard,489.67,13.43
96,85.0,California,Pinot Noir,Paul Hobbs,489.67,13.43
92,70.0,California,Bordeaux-style Red Blend,Justin,489.67,13.43
90,28.0,California,Cabernet Sauvignon,Rodney Strong,489.67,13.43
84,12.0,California,Zinfandel,Tortoise Creek,489.67,13.43
88,42.0,California,Cabernet Franc,Markham,489.67,13.43
86,30.0,California,Chardonnay,Hendry,489.67,13.43
85,10.0,California,Sauvignon Blanc,Line 39,489.67,13.43
85,13.0,California,Chardonnay,Noble Vines,489.67,13.43
85,16.0,California,Chardonnay,Rutherford Ranch,489.67,13.43
85,20.0,California,Cabernet Sauvignon,Michael David,489.67,13.43
85,13.0,California,Petite Sirah,Pennywise,489.67,13.43
88,35.0,California,Zinfandel,Grgich Hills,489.67,13.43
88,85.0,California,Bordeaux-style Red Blend,Hill Family Estate,489.67,13.43
91,55.0,California,Pinot Noir,Bernardus,489.67,13.43
91,32.0,California,Chardonnay,Cambria,489.67,13.43
91,60.0,California,Pinot Noir,Failla,489.67,13.43
91,50.0,California,Pinot Noir,Lucienne,489.67,13.43
90,50.0,California,Pinot Noir,Lucienne,489.67,13.43
87,18.0,California,Sauvignon Blanc,Whitehall Lane,489.67,13.43
90,75.0,California,Pinot Noir,Domaine Carneros,489.67,13.43
90,80.0,California,Cabernet Sauvignon,Robert John,489.67,13.43
86,17.0,California,Cabernet Sauvignon,Michael Pozzan,489.67,13.43
87,26.0,California,Zinfandel,Joullian,489.67,13.43
84,11.0,California,RosÃ©,Pedroncelli,489.67,13.43
85,12.0,California,Cabernet Sauvignon,Q,489.67,13.43
85,14.0,California,Sauvignon Blanc,Rancho Sisquoc,489.67,13.43
85,18.0,California,Red Blend,The Crusher,489.67,13.43
93,36.0,California,Sangiovese,Cent'Anni,489.67,13.43
85,40.0,California,Cabernet Sauvignon,Longevity,489.67,13.43
92,29.0,California,RhÃ´ne-style Red Blend,Hawk Watch Winery,489.67,13.43
92,60.0,California,Red Blend,Bargetto,489.67,13.43
89,36.0,California,Chardonnay,Hanzell,489.67,13.43
90,46.0,California,Zinfandel,Portalupi,489.67,13.43
90,38.0,California,Zinfandel,Seghesio,489.67,13.43
90,30.0,California,Syrah,Brander,489.67,13.43
88,25.0,California,Pinot Noir,Hook & Ladder,489.67,13.43
90,42.0,California,Zinfandel,Proulx,489.67,13.43
90,32.0,California,Zinfandel,Turley,489.67,13.43
84,65.0,California,Cabernet Sauvignon,Eponymous,489.67,13.43
